ma_giao_dich,ma_khach_hang,ma_san_pham,ma_cua_hang,so_luong,don_gia,so_tien_giam_gia,phi_van_chuyen,khoa_ngay,ma_thanh_toan
TX0000015251202004,CUS0000015,SYSN10000618,SH1939897,2,293100,0,20000,20251202,5
TX0000015251211005,CUS0000015,SYSN10004411,SH2884180,1,87200,18300,20000,20251211,2
TX0000016230705000,CUS0000016,SYSN10000858,SH7913101,1,49100,4900,0,20230705,5
TX0000016241211001,CUS0000016,SYSN10001752,SH8624054,1,140200,62400,0,20241211,4
TX0000016250225002,CUS0000016,SYSN10004257,SH6503029,1,139100,0,0,20250225,2
TX0000017240603000,CUS0000017,SYSN10000990,SH8831655,1,115900,0,15000,20240603,5
TX0000017240617001,CUS0000017,SYSN10000026,SH8096887,3,109500,0,30000,20240617,5
TX0000017241029002,CUS0000017,SYSN10004608,SH2550351,1,187500,9400,15000,20241029,5
TX0000017241127003,CUS0000017,SYSN10005455,SH3233681,2,454900,182000,20000,20241127,4
TX0000017241202004,CUS0000017,SYSN10003364,SH4489565,1,246700,37000,15000,20241202,2
TX0000017250315005,CUS0000017,SYSN10001273,SH1643521,3,188000,28200,0,20250315,4
TX0000017250410006,CUS0000017,SYSN10001600,SH5582437,2,511600,102300,20000,20250410,4
TX0000017250417007,CUS0000017,SYSN10002649,SH6410210,1,185800,9300,30000,20250417,4
TX0000017250430008,CUS0000017,SYSN10006459,SH4077319,2,110200,41900,0,20250430,2
TX0000017250524009,CUS0000017,SYSN10002533,SH2562858,1,159600,0,0,20250524,6
TX0000017251109010,CUS0000017,SYSN10000814,SH7398678,2,114400,34300,0,20251109,2
TX0000017251118011,CUS0000017,SYSN10004100,SH1429114,2,407600,0,0,20251118,4
TX0000018250819000,CUS0000018,SYSN10001202,SH2678051,1,147200,0,20000,20250819,5
TX0000018251010001,CUS0000018,SYSN10006360,SH6376423,1,257300,66400,30000,20251010,5
TX0000019251112000,CUS0000019,SYSN10005078,SH8880122,1,109800,22000,0,20251112,5
TX0000019251118002,CUS0000019,SYSN10007528,SH2320323,2,249600,49900,0,20251118,4
TX0000019251121003,CUS0000019,SYSN10003659,SH1223625,1,199600,20000,0,20251121,4
TX0000019251202006,CUS0000019,SYSN10003984,SH4733815,1,253100,0,20000,20251202,5
TX0000019251204008,CUS0000019,SYSN10003980,SH3276949,1,174700,8700,0,20251204,2
TX0000019251223010,CUS0000019,SYSN10004228,SH3977736,3,253000,0,20000,20251223,1
TX0000019251226011,CUS0000019,SYSN10007333,SH2674678,2,509000,0,0,20251226,2
TX0000020251125000,CUS0000020,SYSN10006405,SH8702631,1,194200,38800,30000,20251125,2
TX0000020251128002,CUS0000020,SYSN10000802,SH1763562,3,338500,0,0,20251128,6
TX0000020251128003,CUS0000020,SYSN10001883,SH8037768,1,177900,0,0,20251128,4
TX0000020251201004,CUS0000020,SYSN10003412,SH8557973,1,158600,7900,20000,20251201,6
TX0000020251206006,CUS0000020,SYSN10006626,SH6149129,2,125400,0,20000,20251206,2
TX0000020251222008,CUS0000020,SYSN10001615,SH1272126,1,408500,40800,0,20251222,4
TX0000020251227009,CUS0000020,SYSN10005158,SH9978269,1,495700,0,0,20251227,6
TX0000020251227010,CUS0000020,SYSN10002945,SH9575908,1,233300,23300,0,20251227,5
TX0000020251229011,CUS0000020,SYSN10001857,SH1259406,3,223500,67000,0,20251229,3
TX0000021251119000,CUS0000021,SYSN10004228,SH3977736,1,240600,0,0,20251119,5
TX0000021251208001,CUS0000021,SYSN10000750,SH7060776,1,233300,0,15000,20251208,5
TX0000022231028000,CUS0000022,SYSN10003377,SH5671585,1,354500,35400,30000,20231028,4
TX0000022231104001,CUS0000022,SYSN10002680,SH7687292,4,494800,197900,15000,20231104,5
TX0000022231121003,CUS0000022,SYSN10005612,SH8783942,1,882300,176500,0,20231121,5
TX0000023230308000,CUS0000023,SYSN10000895,SH5194038,2,456600,377500,20000,20230308,6
TX0000023230311001,CUS0000023,SYSN10000574,SH8419054,4,519800,207900,20000,20230311,2
TX0000023230411002,CUS0000023,SYSN10001160,SH9753742,1,697600,104600,30000,20230411,6
TX0000023230503004,CUS0000023,SYSN10000895,SH5194038,1,524000,0,15000,20230503,2
TX0000023230516005,CUS0000023,SYSN10007322,SH6364445,3,1893300,0,0,20230516,4
TX0000023230602006,CUS0000023,SYSN10000574,SH8419054,5,525200,0,30000,20230602,5
TX0000023230603007,CUS0000023,SYSN10004401,SH8494985,4,559200,447400,30000,20230603,5
TX0000023230606008,CUS0000023,SYSN10002096,SH8892760,2,485300,194100,0,20230606,6
TX0000023230619009,CUS0000023,SYSN10007535,SH8300889,4,661800,0,0,20230619,2
TX0000023230729010,CUS0000023,SYSN10002623,SH9812589,3,575900,0,0,20230729,2
TX0000023230730011,CUS0000023,SYSN10005821,SH2593146,2,547100,54700,15000,20230730,6
TX0000023230814012,CUS0000023,SYSN10007951,SH9230366,3,696400,626700,0,20230814,3
TX0000023230822013,CUS0000023,SYSN10004320,SH7500246,1,612600,30600,0,20230822,2
TX0000023230828014,CUS0000023,SYSN10007971,SH4757576,1,555800,83400,15000,20230828,6
TX0000023230904015,CUS0000023,SYSN10006885,SH2383336,1,1110600,0,15000,20230904,2
TX0000023230909016,CUS0000023,SYSN10002880,SH7373024,3,1547500,2015000,30000,20230909,2
TX0000023230910017,CUS0000023,SYSN10005531,SH9532665,3,625000,0,0,20230910,6
TX0000023231006018,CUS0000023,SYSN10002455,SH2459729,2,704600,0,30000,20231006,6
TX0000023231024019,CUS0000023,SYSN10000574,SH8419054,5,538900,0,0,20231024,2
TX0000023231119020,CUS0000023,SYSN10005513,SH7808402,1,995600,0,20000,20231119,5
TX0000023231212021,CUS0000023,SYSN10004254,SH6742901,6,352000,554900,15000,20231212,6
TX0000023231216022,CUS0000023,SYSN10005513,SH7808402,1,1031900,103200,0,20231216,5
TX0000023231217023,CUS0000023,SYSN10005120,SH4492297,3,514200,77100,0,20231217,1
TX0000023240110024,CUS0000023,SYSN10001287,SH5172556,3,609900,0,0,20240110,2
TX0000023240214025,CUS0000023,SYSN10000340,SH7616116,2,635700,532600,15000,20240214,6
TX0000023240223026,CUS0000023,SYSN10007377,SH9473644,4,777900,0,0,20240223,6
TX0000023240316027,CUS0000023,SYSN10004804,SH8830137,3,662600,198800,15000,20240316,5
TX0000023240316028,CUS0000023,SYSN10006201,SH8949535,2,594700,118900,0,20240316,5
TX0000023240414029,CUS0000023,SYSN10004351,SH9669760,2,1390200,556100,0,20240414,6
TX0000023240528031,CUS0000023,SYSN10001196,SH2021141,2,722300,144400,15000,20240528,5
TX0000023240622032,CUS0000023,SYSN10007322,SH6364445,5,1802000,0,30000,20240622,2
TX0000023240706033,CUS0000023,SYSN10006892,SH6846412,2,512200,0,30000,20240706,3
TX0000023240714034,CUS0000023,SYSN10006349,SH7815071,2,511700,0,15000,20240714,3
TX0000023240810035,CUS0000023,SYSN10006638,SH6399789,1,573500,57400,20000,20240810,2
TX0000023240816036,CUS0000023,SYSN10002096,SH8892760,1,481500,0,0,20240816,6
TX0000023240907038,CUS0000023,SYSN10005154,SH2637387,1,699100,0,30000,20240907,1
TX0000023240910039,CUS0000023,SYSN10002644,SH7208876,2,600900,0,0,20240910,6
TX0000023240913040,CUS0000023,SYSN10003774,SH2931538,1,825700,165100,30000,20240913,2
TX0000023240922041,CUS0000023,SYSN10007412,SH6020069,1,1017100,0,0,20240922,5
TX0000023241001042,CUS0000023,SYSN10002876,SH9110583,1,643300,193000,15000,20241001,2
TX0000023241019043,CUS0000023,SYSN10003829,SH3415472,1,714800,0,0,20241019,3
TX0000023241027044,CUS0000023,SYSN10000574,SH8419054,2,508600,50900,15000,20241027,2
TX0000023241111045,CUS0000023,SYSN10006885,SH2383336,2,739500,527900,0,20241111,4
TX0000023241201046,CUS0000023,SYSN10002880,SH7373024,1,1989500,0,0,20241201,6
TX0000023241212047,CUS0000023,SYSN10000322,SH8060918,1,464400,192300,15000,20241212,5
TX0000023241221048,CUS0000023,SYSN10000574,SH8419054,1,535700,80400,15000,20241221,4
TX0000023250106049,CUS0000023,SYSN10002751,SH2294596,2,665700,199700,30000,20250106,5
TX0000023250331051,CUS0000023,SYSN10005334,SH3553925,1,665500,33300,30000,20250331,1
TX0000023250403052,CUS0000023,SYSN10003712,SH7245694,3,526800,0,20000,20250403,2
TX0000023250430053,CUS0000023,SYSN10005415,SH4422298,2,473800,197000,0,20250430,6
TX0000023250602054,CUS0000023,SYSN10000574,SH8419054,2,539300,0,30000,20250602,3
TX0000023250701055,CUS0000023,SYSN10002850,SH1822257,2,544600,0,0,20250701,6
TX0000023250710056,CUS0000023,SYSN10006298,SH2566764,4,921700,737400,0,20250710,2
TX0000023250717057,CUS0000023,SYSN10002043,SH8537652,2,580400,116100,20000,20250717,6
TX0000023250816058,CUS0000023,SYSN10004334,SH3047807,4,656200,525000,30000,20250816,2
TX0000023250820059,CUS0000023,SYSN10004254,SH6742901,3,492800,0,15000,20250820,2
TX0000023251006061,CUS0000023,SYSN10004401,SH8494985,3,562100,0,15000,20251006,4
TX0000023251012062,CUS0000023,SYSN10000285,SH9703982,1,656000,65600,20000,20251012,4
TX0000023251214064,CUS0000023,SYSN10006393,SH5060278,3,577100,259700,30000,20251214,3
TX0000023251229065,CUS0000023,SYSN10007283,SH5687558,1,555700,166700,0,20251229,2
TX0000024230605000,CUS0000024,SYSN10005189,SH6171636,1,121300,0,30000,20230605,6
TX0000024231102001,CUS0000024,SYSN10001459,SH5621624,1,333000,0,30000,20231102,4
TX0000024240910002,CUS0000024,SYSN10003550,SH3043939,2,497400,0,0,20240910,6
TX0000024250222003,CUS0000024,SYSN10002724,SH8305583,1,195300,29300,0,20250222,6
TX0000024251214005,CUS0000024,SYSN10002608,SH2138360,1,256900,25700,30000,20251214,5
TX0000025251018000,CUS0000025,SYSN10003361,SH6809223,1,177400,17700,15000,20251018,2
TX0000025251130002,CUS0000025,SYSN10003993,SH2355077,2,199900,60000,30000,20251130,4
TX0000025251130003,CUS0000025,SYSN10000631,SH9950391,1,135500,0,0,20251130,2
TX0000025251220004,CUS0000025,SYSN10001650,SH9213447,1,186300,9300,0,20251220,6
TX0000025251227005,CUS0000025,SYSN10007276,SH9249291,1,128900,0,30000,20251227,5
TX0000026250524000,CUS0000026,SYSN10007869,SH5090937,1,113800,0,30000,20250524,4
TX0000026250826001,CUS0000026,SYSN10006598,SH4708255,2,157100,0,20000,20250826,5
TX0000026251225002,CUS0000026,SYSN10000609,SH2089275,1,128500,28900,30000,20251225,2
TX0000027241202000,CUS0000027,SYSN10001734,SH1381383,3,394700,236800,15000,20241202,2
TX0000027241202001,CUS0000027,SYSN10003888,SH3859793,1,672400,134500,20000,20241202,2
TX0000027241210002,CUS0000027,SYSN10005441,SH8796388,2,302600,0,0,20241210,2
TX0000027241212003,CUS0000027,SYSN10001620,SH5230482,2,233700,118700,0,20241212,6
TX0000027241212004,CUS0000027,SYSN10007054,SH9274985,2,320000,273300,30000,20241212,4
TX0000027241221005,CUS0000027,SYSN10007043,SH3327790,2,405200,121600,0,20241221,5
TX0000027241227006,CUS0000027,SYSN10001211,SH2079947,1,372600,0,15000,20241227,5
TX0000027241227007,CUS0000027,SYSN10005295,SH4471949,2,748600,74900,0,20241227,2
TX0000027241228008,CUS0000027,SYSN10001821,SH1302898,2,347500,69500,15000,20241228,3
TX0000027241229009,CUS0000027,SYSN10005513,SH7808402,3,1019800,0,0,20241229,1
TX0000028250803000,CUS0000028,SYSN10004821,SH7727219,1,221700,0,20000,20250803,6
TX0000028250827001,CUS0000028,SYSN10003873,SH2152756,1,102500,0,15000,20250827,2
TX0000029241202000,CUS0000029,SYSN10001949,SH1418312,1,203900,40800,0,20241202,5
TX0000029241212001,CUS0000029,SYSN10001673,SH9718383,1,96600,16400,30000,20241212,3
TX0000029241217003,CUS0000029,SYSN10001476,SH3984802,2,450900,0,0,20241217,4
TX0000029241220004,CUS0000029,SYSN10005044,SH3022364,1,139300,13900,15000,20241220,3
TX0000030250315000,CUS0000030,SYSN10000291,SH1074659,1,51500,7700,15000,20250315,4
TX0000030250925001,CUS0000030,SYSN10007306,SH6051859,1,137100,27400,15000,20250925,6
TX0000031240617000,CUS0000031,SYSN10006472,SH9607922,1,107400,0,15000,20240617,6
TX0000031241004002,CUS0000031,SYSN10004358,SH4971834,1,133900,0,15000,20241004,5
TX0000031241103003,CUS0000031,SYSN10007218,SH6723099,1,123700,0,20000,20241103,5
TX0000031241108004,CUS0000031,SYSN10004744,SH3535074,2,154900,31000,0,20241108,6
TX0000031241212006,CUS0000031,SYSN10006648,SH9992327,2,379700,124700,15000,20241212,5
TX0000031241228007,CUS0000031,SYSN10000598,SH3270069,3,279900,84000,20000,20241228,5
TX0000031250307008,CUS0000031,SYSN10007812,SH4126469,2,156800,15700,0,20250307,2
TX0000031250523009,CUS0000031,SYSN10003047,SH6101021,1,230600,0,30000,20250523,6
TX0000031250922010,CUS0000031,SYSN10002872,SH8661818,3,309200,0,0,20250922,2
TX0000031251012011,CUS0000031,SYSN10002327,SH6367049,1,177600,17800,0,20251012,3
TX0000032240419000,CUS0000032,SYSN10007738,SH7253670,1,69000,10400,20000,20240419,2
TX0000032241010001,CUS0000032,SYSN10005117,SH6358337,1,43700,13300,0,20241010,2
TX0000032241124002,CUS0000032,SYSN10006866,SH6892074,1,32100,9600,0,20241124,6
TX0000033241203000,CUS0000033,SYSN10000501,SH9653916,2,76700,0,20000,20241203,4
TX0000033241224001,CUS0000033,SYSN10004338,SH1763145,1,133200,0,15000,20241224,2
TX0000033241226002,CUS0000033,SYSN10007020,SH3686753,1,139500,0,20000,20241226,1
TX0000034251024000,CUS0000034,SYSN10004986,SH7207171,1,201400,40300,0,20251024,6
TX0000034251106001,CUS0000034,SYSN10006490,SH6874014,2,327000,0,20000,20251106,2
TX0000034251212002,CUS0000034,SYSN10007031,SH1933135,1,92900,14900,15000,20251212,4
TX0000035231219000,CUS0000035,SYSN10004922,SH5167770,1,335400,0,15000,20231219,3
TX0000035231227002,CUS0000035,SYSN10005341,SH4644312,3,120900,0,15000,20231227,6
TX0000036230623000,CUS0000036,SYSN10004368,SH2118635,1,387700,58200,30000,20230623,2
TX0000036230917001,CUS0000036,SYSN10000059,SH3768991,1,172600,0,0,20230917,2
TX0000036231106002,CUS0000036,SYSN10005158,SH9978269,2,480800,96200,0,20231106,2
TX0000036240205004,CUS0000036,SYSN10001534,SH9165219,1,103600,0,0,20240205,4
TX0000036240522005,CUS0000036,SYSN10000067,SH6724909,1,231900,0,0,20240522,4
TX0000037250105000,CUS0000037,SYSN10000876,SH2930745,1,113600,11400,0,20250105,2
TX0000037251209001,CUS0000037,SYSN10006926,SH5628150,1,36100,0,0,20251209,4
TX0000038240911000,CUS0000038,SYSN10005149,SH5879230,2,199800,0,0,20240911,2
TX0000038250913001,CUS0000038,SYSN10003355,SH9719744,1,102300,20500,20000,20250913,4
TX0000038250922002,CUS0000038,SYSN10005077,SH2931889,1,147600,14800,15000,20250922,1
TX0000038251111004,CUS0000038,SYSN10005472,SH2138348,1,75500,24600,30000,20251111,4
TX0000039251113000,CUS0000039,SYSN10001058,SH2970130,2,102300,20500,0,20251113,5
TX0000039251118001,CUS0000039,SYSN10003282,SH5765662,1,43900,0,15000,20251118,5
TX0000039251216002,CUS0000039,SYSN10003605,SH2907096,1,176500,17600,0,20251216,6
TX0000040231115000,CUS0000040,SYSN10001034,SH1710615,1,98800,4900,20000,20231115,5
TX0000040240718001,CUS0000040,SYSN10005346,SH9173892,3,79200,0,30000,20240718,4
TX0000040240906002,CUS0000040,SYSN10003814,SH7185065,2,220600,44100,20000,20240906,1
TX0000041250327000,CUS0000041,SYSN10002024,SH2962480,1,230900,0,15000,20250327,6
TX0000041251117001,CUS0000041,SYSN10003209,SH3817316,2,124900,37500,0,20251117,3
TX0000042230509000,CUS0000042,SYSN10000666,SH3012881,2,227800,0,30000,20230509,6
TX0000042230830001,CUS0000042,SYSN10007046,SH1025762,1,512800,0,0,20230830,3
TX0000042240109002,CUS0000042,SYSN10006225,SH7660559,1,199800,0,30000,20240109,2
TX0000042240430003,CUS0000042,SYSN10004590,SH8797609,1,165400,62700,0,20240430,2
TX0000042250201004,CUS0000042,SYSN10007250,SH2404995,1,139000,7000,0,20250201,4
TX0000042250713005,CUS0000042,SYSN10007670,SH3631910,1,194800,19500,0,20250713,6
TX0000043240809000,CUS0000043,SYSN10001385,SH8460359,1,165500,0,0,20240809,2
TX0000043240917001,CUS0000043,SYSN10007706,SH5262610,1,182300,0,20000,20240917,2
TX0000043241101002,CUS0000043,SYSN10003522,SH2458953,1,130900,26200,30000,20241101,2
TX0000043241204003,CUS0000043,SYSN10007273,SH3503367,2,117000,46800,0,20241204,2
TX0000043241212004,CUS0000043,SYSN10000437,SH1814896,1,81100,39900,15000,20241212,4
TX0000044221114000,CUS0000044,SYSN10000956,SH6334600,1,167500,50200,20000,20221114,2
TX0000044230426001,CUS0000044,SYSN10004067,SH5639156,3,162900,0,15000,20230426,5
TX0000044230830002,CUS0000044,SYSN10003357,SH6978238,2,118100,0,30000,20230830,6
TX0000044240407003,CUS0000044,SYSN10006244,SH4951444,3,102700,0,20000,20240407,3
TX0000044240617004,CUS0000044,SYSN10006573,SH4924251,1,110100,0,30000,20240617,2
TX0000044240726005,CUS0000044,SYSN10001229,SH3053134,1,104100,0,0,20240726,6
TX0000044240914006,CUS0000044,SYSN10007210,SH6693502,3,216000,97200,0,20240914,2
TX0000044241119007,CUS0000044,SYSN10007097,SH6613895,2,313700,188200,0,20241119,4
TX0000044250216009,CUS0000044,SYSN10001993,SH8106672,1,194500,0,0,20250216,6
TX0000044251030010,CUS0000044,SYSN10005308,SH6132214,1,163600,0,20000,20251030,5
TX0000045230829000,CUS0000045,SYSN10006522,SH2358013,1,492200,24600,15000,20230829,6
TX0000045230909001,CUS0000045,SYSN10007629,SH4132898,4,314900,423100,30000,20230909,5
TX0000045231107002,CUS0000045,SYSN10003317,SH8565186,1,675000,33800,20000,20231107,2
TX0000045231109003,CUS0000045,SYSN10006305,SH9622958,2,321900,0,0,20231109,1
TX0000045231110004,CUS0000045,SYSN10003190,SH9089823,1,192900,61300,30000,20231110,6
TX0000045231212005,CUS0000045,SYSN10006438,SH6371156,2,345100,104300,20000,20231212,5
TX0000045240112006,CUS0000045,SYSN10006750,SH8204386,2,360400,36000,0,20240112,5
TX0000045240120007,CUS0000045,SYSN10004460,SH9556458,2,421300,0,20000,20240120,2
TX0000045240204008,CUS0000045,SYSN10006252,SH7263627,2,382700,38300,30000,20240204,4
TX0000045240223009,CUS0000045,SYSN10006730,SH7443037,1,703500,0,20000,20240223,5
TX0000045240610011,CUS0000045,SYSN10004747,SH5419989,1,408700,20400,15000,20240610,5
TX0000045240612012,CUS0000045,SYSN10001573,SH5462862,3,435800,196100,0,20240612,2
TX0000045240731014,CUS0000045,SYSN10007889,SH9273027,2,323400,32300,0,20240731,4
TX0000045240824015,CUS0000045,SYSN10005439,SH9661485,1,411100,61700,30000,20240824,2
TX0000045240825016,CUS0000045,SYSN10001620,SH5230482,1,311900,0,0,20240825,6
TX0000045241209019,CUS0000045,SYSN10002272,SH9119299,2,351000,0,20000,20241209,2
TX0000045241222020,CUS0000045,SYSN10003064,SH8527555,3,508500,152600,0,20241222,1
TX0000045250412021,CUS0000045,SYSN10002753,SH8910966,2,327300,32700,0,20250412,4
TX0000045250719022,CUS0000045,SYSN10000192,SH6805303,1,345800,0,15000,20250719,2
TX0000045250913023,CUS0000045,SYSN10005531,SH9532665,2,618900,0,15000,20250913,2
TX0000045251027024,CUS0000045,SYSN10002096,SH8892760,2,478500,0,0,20251027,6
TX0000045251109025,CUS0000045,SYSN10000042,SH5682940,1,328600,98600,30000,20251109,1
TX0000045251111026,CUS0000045,SYSN10007000,SH8899687,1,258900,42900,0,20251111,2
TX0000045251206027,CUS0000045,SYSN10007987,SH3544843,2,513600,51400,0,20251206,2
TX0000046240607000,CUS0000046,SYSN10000120,SH2015861,3,239100,215200,20000,20240607,5
TX0000046240823001,CUS0000046,SYSN10003255,SH5184565,2,44700,17900,20000,20240823,6
TX0000046250918002,CUS0000046,SYSN10005337,SH7688721,1,230000,0,30000,20250918,2
TX0000046251028003,CUS0000046,SYSN10006013,SH3831396,3,162200,48700,15000,20251028,2
TX0000046251207004,CUS0000046,SYSN10004656,SH9517884,1,168500,0,15000,20251207,1
TX0000047240729000,CUS0000047,SYSN10006964,SH4504154,1,197100,0,0,20240729,6
TX0000047241022001,CUS0000047,SYSN10001019,SH8080237,2,132200,0,20000,20241022,5
TX0000047250317002,CUS0000047,SYSN10000954,SH7190456,1,114400,0,30000,20250317,4
TX0000047250403003,CUS0000047,SYSN10004882,SH8460803,1,129300,12900,0,20250403,4
TX0000047251026004,CUS0000047,SYSN10000092,SH3037191,1,361300,0,15000,20251026,6
TX0000047251117005,CUS0000047,SYSN10000081,SH2664863,1,159100,15900,30000,20251117,4
TX0000048240529000,CUS0000048,SYSN10003415,SH4264201,3,538100,0,30000,20240529,5
TX0000048240530001,CUS0000048,SYSN10001582,SH2071693,2,703900,281600,15000,20240530,1
TX0000048240604002,CUS0000048,SYSN10002827,SH3615226,1,508600,101700,30000,20240604,2
TX0000048240815004,CUS0000048,SYSN10006965,SH6341556,1,719700,0,30000,20240815,6
TX0000048240918005,CUS0000048,SYSN10002389,SH7499943,3,814000,0,20000,20240918,5
TX0000048240919006,CUS0000048,SYSN10007586,SH9255025,2,515800,0,0,20240919,2
TX0000048241005008,CUS0000048,SYSN10001727,SH9110494,1,663700,66400,0,20241005,4
TX0000048241013009,CUS0000048,SYSN10002706,SH1982702,2,567900,0,0,20241013,6
TX0000048241104010,CUS0000048,SYSN10007908,SH4170968,2,599000,0,20000,20241104,2
TX0000048241111011,CUS0000048,SYSN10000463,SH8342987,5,373800,329300,0,20241111,2
TX0000048241111012,CUS0000048,SYSN10000289,SH5092180,5,484300,419000,0,20241111,5
TX0000048241120013,CUS0000048,SYSN10007586,SH9255025,4,512100,0,15000,20241120,6
