thang_cohort,ky_cohort,khach_hoat_dong,quy_mo_cohort,ty_le_giu_chan
2022-06,37,35,1200,0.0292
2022-06,38,26,1200,0.0217
2022-06,39,29,1200,0.0242
2022-06,40,29,1200,0.0242
2022-06,41,27,1200,0.0225
2022-06,42,31,1200,0.0258
2022-07,0,1152,1152,1.0
2022-07,1,281,1152,0.2439
2022-07,2,268,1152,0.2326
2022-07,3,275,1152,0.2387
2022-07,4,252,1152,0.2188
2022-07,5,230,1152,0.1997
2022-07,6,220,1152,0.191
2022-07,7,168,1152,0.1458
2022-07,8,159,1152,0.138
2022-07,9,127,1152,0.1102
2022-07,10,133,1152,0.1155
2022-07,11,116,1152,0.1007
2022-07,12,118,1152,0.1024
2022-07,13,94,1152,0.0816
2022-07,14,86,1152,0.0747
2022-07,15,83,1152,0.072
2022-07,16,85,1152,0.0738
2022-07,17,99,1152,0.0859
2022-07,18,84,1152,0.0729
2022-07,19,55,1152,0.0477
2022-07,20,86,1152,0.0747
2022-07,21,70,1152,0.0608
2022-07,22,60,1152,0.0521
2022-07,23,59,1152,0.0512
2022-07,24,52,1152,0.0451
2022-07,25,60,1152,0.0521
2022-07,26,54,1152,0.0469
2022-07,27,49,1152,0.0425
2022-07,28,45,1152,0.0391
2022-07,29,46,1152,0.0399
2022-07,30,45,1152,0.0391
2022-07,31,37,1152,0.0321
2022-07,32,45,1152,0.0391
2022-07,33,42,1152,0.0365
2022-07,34,45,1152,0.0391
2022-07,35,28,1152,0.0243
2022-07,36,36,1152,0.0312
2022-07,37,27,1152,0.0234
2022-07,38,29,1152,0.0252
2022-07,39,24,1152,0.0208
2022-07,40,26,1152,0.0226
2022-07,41,30,1152,0.026
2022-08,0,1205,1205,1.0
2022-08,1,294,1205,0.244
2022-08,2,297,1205,0.2465
2022-08,3,271,1205,0.2249
2022-08,4,258,1205,0.2141
2022-08,5,230,1205,0.1909
2022-08,6,187,1205,0.1552
2022-08,7,187,1205,0.1552
2022-08,8,157,1205,0.1303
2022-08,9,138,1205,0.1145
2022-08,10,129,1205,0.1071
2022-08,11,118,1205,0.0979
2022-08,12,122,1205,0.1012
2022-08,13,125,1205,0.1037
2022-08,14,100,1205,0.083
2022-08,15,89,1205,0.0739
2022-08,16,95,1205,0.0788
2022-08,17,91,1205,0.0755
2022-08,18,83,1205,0.0689
2022-08,19,85,1205,0.0705
2022-08,20,69,1205,0.0573
2022-08,21,76,1205,0.0631
2022-08,22,58,1205,0.0481
2022-08,23,65,1205,0.0539
2022-08,24,68,1205,0.0564
2022-08,25,56,1205,0.0465
2022-08,26,54,1205,0.0448
2022-08,27,47,1205,0.039
2022-08,28,47,1205,0.039
2022-08,29,50,1205,0.0415
2022-08,30,48,1205,0.0398
2022-08,31,38,1205,0.0315
2022-08,32,41,1205,0.034
2022-08,33,54,1205,0.0448
2022-08,34,36,1205,0.0299
2022-08,35,34,1205,0.0282
2022-08,36,41,1205,0.034
2022-08,37,40,1205,0.0332
2022-08,38,31,1205,0.0257
2022-08,39,29,1205,0.0241
2022-08,40,35,1205,0.029
2022-09,0,1284,1284,1.0
2022-09,1,344,1284,0.2679
2022-09,2,297,1284,0.2313
2022-09,3,287,1284,0.2235
2022-09,4,248,1284,0.1931
2022-09,5,201,1284,0.1565
2022-09,6,209,1284,0.1628
2022-09,7,166,1284,0.1293
2022-09,8,146,1284,0.1137
2022-09,9,134,1284,0.1044
2022-09,10,139,1284,0.1083
2022-09,11,114,1284,0.0888
2022-09,12,114,1284,0.0888
2022-09,13,99,1284,0.0771
2022-09,14,92,1284,0.0717
2022-09,15,102,1284,0.0794
2022-09,16,87,1284,0.0678
2022-09,17,72,1284,0.0561
2022-09,18,90,1284,0.0701
2022-09,19,81,1284,0.0631
2022-09,20,70,1284,0.0545
2022-09,21,66,1284,0.0514
2022-09,22,60,1284,0.0467
2022-09,23,60,1284,0.0467
2022-09,24,51,1284,0.0397
2022-09,25,63,1284,0.0491
2022-09,26,52,1284,0.0405
2022-09,27,56,1284,0.0436
2022-09,28,53,1284,0.0413
2022-09,29,47,1284,0.0366
2022-09,30,49,1284,0.0382
2022-09,31,50,1284,0.0389
2022-09,32,40,1284,0.0312
2022-09,33,42,1284,0.0327
2022-09,34,45,1284,0.035
2022-09,35,33,1284,0.0257
2022-09,36,36,1284,0.028
2022-09,37,34,1284,0.0265
2022-09,38,38,1284,0.0296
2022-09,39,34,1284,0.0265
2022-10,0,1417,1417,1.0
2022-10,1,393,1417,0.2773
2022-10,2,351,1417,0.2477
2022-10,3,340,1417,0.2399
2022-10,4,261,1417,0.1842
2022-10,5,284,1417,0.2004
2022-10,6,208,1417,0.1468
2022-10,7,218,1417,0.1538
2022-10,8,214,1417,0.151
2022-10,9,185,1417,0.1306
2022-10,10,151,1417,0.1066
2022-10,11,154,1417,0.1087
2022-10,12,144,1417,0.1016
2022-10,13,115,1417,0.0812
2022-10,14,134,1417,0.0946
2022-10,15,115,1417,0.0812
2022-10,16,105,1417,0.0741
2022-10,17,105,1417,0.0741
2022-10,18,91,1417,0.0642
2022-10,19,85,1417,0.06
2022-10,20,87,1417,0.0614
2022-10,21,78,1417,0.055
2022-10,22,78,1417,0.055
2022-10,23,81,1417,0.0572
2022-10,24,75,1417,0.0529
2022-10,25,68,1417,0.048
2022-10,26,65,1417,0.0459
2022-10,27,59,1417,0.0416
2022-10,28,57,1417,0.0402
2022-10,29,48,1417,0.0339
2022-10,30,49,1417,0.0346
2022-10,31,39,1417,0.0275
2022-10,32,50,1417,0.0353
2022-10,33,43,1417,0.0303
2022-10,34,39,1417,0.0275
2022-10,35,36,1417,0.0254
2022-10,36,37,1417,0.0261
2022-10,37,38,1417,0.0268
2022-10,38,33,1417,0.0233
2022-11,0,1719,1719,1.0
2022-11,1,445,1719,0.2589
2022-11,2,417,1719,0.2426
2022-11,3,362,1719,0.2106
2022-11,4,361,1719,0.21
2022-11,5,322,1719,0.1873
2022-11,6,264,1719,0.1536
2022-11,7,242,1719,0.1408
2022-11,8,223,1719,0.1297
2022-11,9,212,1719,0.1233
2022-11,10,184,1719,0.107
2022-11,11,156,1719,0.0908
2022-11,12,135,1719,0.0785
2022-11,13,147,1719,0.0855
2022-11,14,139,1719,0.0809
2022-11,15,120,1719,0.0698
2022-11,16,135,1719,0.0785
2022-11,17,106,1719,0.0617
2022-11,18,98,1719,0.057
2022-11,19,109,1719,0.0634
2022-11,20,87,1719,0.0506
2022-11,21,84,1719,0.0489
2022-11,22,86,1719,0.05
2022-11,23,108,1719,0.0628
2022-11,24,72,1719,0.0419
2022-11,25,84,1719,0.0489
2022-11,26,75,1719,0.0436
2022-11,27,75,1719,0.0436
2022-11,28,68,1719,0.0396
2022-11,29,63,1719,0.0366
2022-11,30,65,1719,0.0378
2022-11,31,61,1719,0.0355
2022-11,32,57,1719,0.0332
2022-11,33,60,1719,0.0349
2022-11,34,54,1719,0.0314
2022-11,35,44,1719,0.0256
2022-11,36,49,1719,0.0285
2022-11,37,49,1719,0.0285
2022-12,0,1565,1565,1.0
2022-12,1,435,1565,0.278
2022-12,2,352,1565,0.2249
2022-12,3,365,1565,0.2332
2022-12,4,329,1565,0.2102
2022-12,5,291,1565,0.1859
2022-12,6,269,1565,0.1719
2022-12,7,216,1565,0.138
2022-12,8,206,1565,0.1316
2022-12,9,176,1565,0.1125
2022-12,10,189,1565,0.1208
2022-12,11,144,1565,0.092
2022-12,12,144,1565,0.092
2022-12,13,151,1565,0.0965
2022-12,14,123,1565,0.0786
2022-12,15,127,1565,0.0812
2022-12,16,118,1565,0.0754
2022-12,17,93,1565,0.0594
2022-12,18,89,1565,0.0569
2022-12,19,98,1565,0.0626
2022-12,20,87,1565,0.0556
2022-12,21,86,1565,0.055
2022-12,22,88,1565,0.0562
2022-12,23,80,1565,0.0511
2022-12,24,73,1565,0.0466
2022-12,25,65,1565,0.0415
2022-12,26,73,1565,0.0466
2022-12,27,62,1565,0.0396
2022-12,28,54,1565,0.0345
2022-12,29,69,1565,0.0441
2022-12,30,55,1565,0.0351
2022-12,31,55,1565,0.0351
2022-12,32,55,1565,0.0351
2022-12,33,58,1565,0.0371
2022-12,34,47,1565,0.03
2022-12,35,43,1565,0.0275
2022-12,36,42,1565,0.0268
2023-01,0,901,901,1.0
2023-01,1,215,901,0.2386
2023-01,2,205,901,0.2275
2023-01,3,229,901,0.2542
2023-01,4,207,901,0.2297
2023-01,5,156,901,0.1731
2023-01,6,155,901,0.172
2023-01,7,136,901,0.1509
2023-01,8,132,901,0.1465
2023-01,9,117,901,0.1299
2023-01,10,100,901,0.111
2023-01,11,99,901,0.1099
2023-01,12,83,901,0.0921
2023-01,13,89,901,0.0988
2023-01,14,79,901,0.0877
2023-01,15,80,901,0.0888
2023-01,16,68,901,0.0755
2023-01,17,54,901,0.0599
2023-01,18,65,901,0.0721
2023-01,19,55,901,0.061
2023-01,20,62,901,0.0688
2023-01,21,54,901,0.0599
2023-01,22,59,901,0.0655
2023-01,23,41,901,0.0455
2023-01,24,48,901,0.0533
2023-01,25,37,901,0.0411
2023-01,26,37,901,0.0411
2023-01,27,36,901,0.04
2023-01,28,32,901,0.0355
2023-01,29,35,901,0.0388
2023-01,30,41,901,0.0455
2023-01,31,44,901,0.0488
2023-01,32,41,901,0.0455
2023-01,33,33,901,0.0366
2023-01,34,34,901,0.0377
2023-01,35,32,901,0.0355
2023-02,0,755,755,1.0
2023-02,1,216,755,0.2861
2023-02,2,185,755,0.245
2023-02,3,183,755,0.2424
2023-02,4,167,755,0.2212
2023-02,5,157,755,0.2079
2023-02,6,109,755,0.1444
2023-02,7,111,755,0.147
2023-02,8,103,755,0.1364
2023-02,9,93,755,0.1232
2023-02,10,86,755,0.1139
2023-02,11,88,755,0.1166
2023-02,12,81,755,0.1073
2023-02,13,71,755,0.094
2023-02,14,65,755,0.0861
2023-02,15,63,755,0.0834
2023-02,16,47,755,0.0623
2023-02,17,51,755,0.0675
2023-02,18,43,755,0.057
2023-02,19,50,755,0.0662
2023-02,20,47,755,0.0623
2023-02,21,44,755,0.0583
2023-02,22,40,755,0.053
2023-02,23,43,755,0.057
2023-02,24,38,755,0.0503
2023-02,25,32,755,0.0424
2023-02,26,33,755,0.0437
2023-02,27,36,755,0.0477
2023-02,28,26,755,0.0344
2023-02,29,35,755,0.0464
2023-02,30,36,755,0.0477
2023-02,31,23,755,0.0305
2023-02,32,34,755,0.045
2023-02,33,25,755,0.0331
2023-02,34,24,755,0.0318
2023-03,0,945,945,1.0
2023-03,1,238,945,0.2519
2023-03,2,242,945,0.2561
2023-03,3,246,945,0.2603
2023-03,4,190,945,0.2011
2023-03,5,204,945,0.2159
2023-03,6,166,945,0.1757
2023-03,7,144,945,0.1524
2023-03,8,129,945,0.1365
2023-03,9,119,945,0.1259
2023-03,10,101,945,0.1069
2023-03,11,107,945,0.1132
2023-03,12,91,945,0.0963
2023-03,13,87,945,0.0921
2023-03,14,86,945,0.091
2023-03,15,93,945,0.0984
2023-03,16,71,945,0.0751
2023-03,17,62,945,0.0656
2023-03,18,66,945,0.0698
2023-03,19,77,945,0.0815
2023-03,20,63,945,0.0667
2023-03,21,63,945,0.0667
2023-03,22,64,945,0.0677
2023-03,23,57,945,0.0603
2023-03,24,50,945,0.0529
2023-03,25,41,945,0.0434
2023-03,26,49,945,0.0519
2023-03,27,43,945,0.0455
2023-03,28,34,945,0.036
2023-03,29,43,945,0.0455
2023-03,30,29,945,0.0307
2023-03,31,25,945,0.0265
2023-03,32,37,945,0.0392
2023-03,33,26,945,0.0275
2023-04,0,972,972,1.0
2023-04,1,282,972,0.2901
2023-04,2,250,972,0.2572
2023-04,3,248,972,0.2551
2023-04,4,217,972,0.2233
2023-04,5,173,972,0.178
2023-04,6,169,972,0.1739
2023-04,7,132,972,0.1358
2023-04,8,139,972,0.143
2023-04,9,134,972,0.1379
2023-04,10,97,972,0.0998
2023-04,11,111,972,0.1142
2023-04,12,95,972,0.0977
2023-04,13,93,972,0.0957
2023-04,14,70,972,0.072
2023-04,15,70,972,0.072
2023-04,16,65,972,0.0669
2023-04,17,60,972,0.0617
2023-04,18,61,972,0.0628
2023-04,19,61,972,0.0628
2023-04,20,62,972,0.0638
2023-04,21,60,972,0.0617
2023-04,22,42,972,0.0432
2023-04,23,50,972,0.0514
2023-04,24,44,972,0.0453
2023-04,25,39,972,0.0401
2023-04,26,42,972,0.0432
2023-04,27,42,972,0.0432
2023-04,28,41,972,0.0422
2023-04,29,32,972,0.0329
2023-04,30,39,972,0.0401
2023-04,31,30,972,0.0309
2023-04,32,34,972,0.035
2023-05,0,1032,1032,1.0
2023-05,1,282,1032,0.2733
2023-05,2,268,1032,0.2597
2023-05,3,262,1032,0.2539
2023-05,4,216,1032,0.2093
2023-05,5,173,1032,0.1676
2023-05,6,146,1032,0.1415
2023-05,7,147,1032,0.1424
2023-05,8,141,1032,0.1366
2023-05,9,127,1032,0.1231
2023-05,10,123,1032,0.1192
2023-05,11,100,1032,0.0969
2023-05,12,94,1032,0.0911
2023-05,13,103,1032,0.0998
2023-05,14,84,1032,0.0814
2023-05,15,91,1032,0.0882
2023-05,16,72,1032,0.0698
2023-05,17,68,1032,0.0659
2023-05,18,68,1032,0.0659
2023-05,19,69,1032,0.0669
2023-05,20,62,1032,0.0601
2023-05,21,59,1032,0.0572
2023-05,22,44,1032,0.0426
2023-05,23,58,1032,0.0562
2023-05,24,46,1032,0.0446
2023-05,25,38,1032,0.0368
2023-05,26,52,1032,0.0504
2023-05,27,54,1032,0.0523
2023-05,28,47,1032,0.0455
2023-05,29,41,1032,0.0397
2023-05,30,30,1032,0.0291
2023-05,31,41,1032,0.0397
2023-06,0,1086,1086,1.0
2023-06,1,279,1086,0.2569
2023-06,2,289,1086,0.2661
2023-06,3,229,1086,0.2109
2023-06,4,239,1086,0.2201
2023-06,5,186,1086,0.1713
2023-06,6,189,1086,0.174
2023-06,7,154,1086,0.1418
2023-06,8,127,1086,0.1169
2023-06,9,135,1086,0.1243
2023-06,10,122,1086,0.1123
2023-06,11,115,1086,0.1059
2023-06,12,99,1086,0.0912
2023-06,13,100,1086,0.0921
2023-06,14,73,1086,0.0672
2023-06,15,85,1086,0.0783
2023-06,16,75,1086,0.0691
2023-06,17,66,1086,0.0608
2023-06,18,69,1086,0.0635
2023-06,19,67,1086,0.0617
2023-06,20,59,1086,0.0543
2023-06,21,57,1086,0.0525
2023-06,22,57,1086,0.0525
2023-06,23,64,1086,0.0589
2023-06,24,51,1086,0.047
2023-06,25,47,1086,0.0433
2023-06,26,53,1086,0.0488
2023-06,27,56,1086,0.0516
2023-06,28,41,1086,0.0378
2023-06,29,44,1086,0.0405
2023-06,30,44,1086,0.0405
2023-07,0,1046,1046,1.0
2023-07,1,267,1046,0.2553
2023-07,2,267,1046,0.2553
2023-07,3,251,1046,0.24
2023-07,4,235,1046,0.2247
2023-07,5,182,1046,0.174
2023-07,6,184,1046,0.1759
2023-07,7,151,1046,0.1444
2023-07,8,145,1046,0.1386
2023-07,9,147,1046,0.1405
2023-07,10,117,1046,0.1119
2023-07,11,115,1046,0.1099
2023-07,12,111,1046,0.1061
2023-07,13,80,1046,0.0765
2023-07,14,98,1046,0.0937
2023-07,15,95,1046,0.0908
2023-07,16,74,1046,0.0707
2023-07,17,94,1046,0.0899
2023-07,18,89,1046,0.0851
2023-07,19,59,1046,0.0564
2023-07,20,70,1046,0.0669
2023-07,21,62,1046,0.0593
2023-07,22,50,1046,0.0478
2023-07,23,55,1046,0.0526
2023-07,24,45,1046,0.043
2023-07,25,50,1046,0.0478
2023-07,26,50,1046,0.0478
2023-07,27,43,1046,0.0411
2023-07,28,47,1046,0.0449
2023-07,29,52,1046,0.0497
2023-08,0,1050,1050,1.0
2023-08,1,279,1050,0.2657
2023-08,2,271,1050,0.2581
2023-08,3,212,1050,0.2019
2023-08,4,206,1050,0.1962
2023-08,5,199,1050,0.1895
2023-08,6,175,1050,0.1667
2023-08,7,163,1050,0.1552
2023-08,8,153,1050,0.1457
2023-08,9,118,1050,0.1124
2023-08,10,131,1050,0.1248
2023-08,11,108,1050,0.1029
2023-08,12,103,1050,0.0981
2023-08,13,97,1050,0.0924
2023-08,14,89,1050,0.0848
2023-08,15,80,1050,0.0762
2023-08,16,68,1050,0.0648
2023-08,17,76,1050,0.0724
2023-08,18,63,1050,0.06
2023-08,19,70,1050,0.0667
2023-08,20,49,1050,0.0467
2023-08,21,62,1050,0.059
2023-08,22,50,1050,0.0476
2023-08,23,47,1050,0.0448
2023-08,24,51,1050,0.0486
2023-08,25,43,1050,0.041
2023-08,26,51,1050,0.0486
2023-08,27,40,1050,0.0381
2023-08,28,39,1050,0.0371
2023-09,0,1078,1078,1.0
2023-09,1,286,1078,0.2653
2023-09,2,257,1078,0.2384
2023-09,3,251,1078,0.2328
2023-09,4,233,1078,0.2161
2023-09,5,207,1078,0.192
2023-09,6,171,1078,0.1586
2023-09,7,171,1078,0.1586
2023-09,8,145,1078,0.1345
2023-09,9,126,1078,0.1169
2023-09,10,134,1078,0.1243
2023-09,11,123,1078,0.1141
2023-09,12,98,1078,0.0909
2023-09,13,105,1078,0.0974
2023-09,14,96,1078,0.0891
2023-09,15,87,1078,0.0807
2023-09,16,82,1078,0.0761
2023-09,17,73,1078,0.0677
2023-09,18,84,1078,0.0779
2023-09,19,77,1078,0.0714
2023-09,20,72,1078,0.0668
2023-09,21,55,1078,0.051
2023-09,22,66,1078,0.0612
2023-09,23,63,1078,0.0584
2023-09,24,60,1078,0.0557
2023-09,25,57,1078,0.0529
2023-09,26,55,1078,0.051
2023-09,27,54,1078,0.0501
2023-10,0,1322,1322,1.0
2023-10,1,337,1322,0.2549
2023-10,2,353,1322,0.267
2023-10,3,355,1322,0.2685
2023-10,4,273,1322,0.2065
2023-10,5,252,1322,0.1906
2023-10,6,231,1322,0.1747
2023-10,7,183,1322,0.1384
2023-10,8,168,1322,0.1271
2023-10,9,188,1322,0.1422
2023-10,10,166,1322,0.1256
2023-10,11,131,1322,0.0991
2023-10,12,124,1322,0.0938
2023-10,13,126,1322,0.0953
2023-10,14,101,1322,0.0764
2023-10,15,116,1322,0.0877
2023-10,16,117,1322,0.0885
2023-10,17,111,1322,0.084
2023-10,18,71,1322,0.0537
2023-10,19,91,1322,0.0688
2023-10,20,93,1322,0.0703
2023-10,21,81,1322,0.0613
2023-10,22,84,1322,0.0635
2023-10,23,79,1322,0.0598
2023-10,24,77,1322,0.0582
2023-10,25,62,1322,0.0469
2023-10,26,80,1322,0.0605
2023-11,0,1527,1527,1.0
2023-11,1,417,1527,0.2731
2023-11,2,436,1527,0.2855
2023-11,3,357,1527,0.2338
2023-11,4,331,1527,0.2168
2023-11,5,293,1527,0.1919
2023-11,6,272,1527,0.1781
2023-11,7,229,1527,0.15
2023-11,8,220,1527,0.1441
2023-11,9,220,1527,0.1441
2023-11,10,203,1527,0.1329
2023-11,11,170,1527,0.1113
