ma_snapshot,ma_san_pham,gia_tai_ngay,ton_kho_tai_ngay,ban_luy_ke,ban_trong_ngay_uoc_tinh,khoa_ngay
SNAPSYSN1000221520251108,SYSN10002215,164000,53,702,0,20251108
SNAPSYSN1000221520251109,SYSN10002215,157800,53,702,0,20251109
SNAPSYSN1000221520251110,SYSN10002215,140200,53,702,0,20251110
SNAPSYSN1000221520251111,SYSN10002215,140200,45,710,8,20251111
SNAPSYSN1000221520251112,SYSN10002215,167200,53,710,0,20251112
SNAPSYSN1000221520251113,SYSN10002215,159100,53,710,0,20251113
SNAPSYSN1000221520251114,SYSN10002215,163400,53,710,0,20251114
SNAPSYSN1000221520251115,SYSN10002215,166600,53,710,0,20251115
SNAPSYSN1000221520251116,SYSN10002215,164000,51,712,2,20251116
SNAPSYSN1000221520251117,SYSN10002215,157700,52,713,1,20251117
SNAPSYSN1000221520251118,SYSN10002215,157200,53,713,0,20251118
SNAPSYSN1000221520251119,SYSN10002215,160600,53,713,0,20251119
SNAPSYSN1000221520251120,SYSN10002215,157900,53,713,0,20251120
SNAPSYSN1000221520251121,SYSN10002215,167400,52,714,1,20251121
SNAPSYSN1000221520251122,SYSN10002215,163600,52,715,1,20251122
SNAPSYSN1000221520251123,SYSN10002215,167800,53,715,0,20251123
SNAPSYSN1000221520251124,SYSN10002215,165800,53,715,0,20251124
SNAPSYSN1000221520251125,SYSN10002215,162400,53,715,0,20251125
SNAPSYSN1000221520251126,SYSN10002215,167600,53,715,0,20251126
SNAPSYSN1000221520251127,SYSN10002215,159800,52,716,1,20251127
SNAPSYSN1000221520251128,SYSN10002215,162800,53,716,0,20251128
SNAPSYSN1000221520251129,SYSN10002215,157000,53,716,0,20251129
SNAPSYSN1000221520251130,SYSN10002215,163100,51,718,2,20251130
SNAPSYSN1000221520251201,SYSN10002215,164500,53,718,0,20251201
SNAPSYSN1000221520251202,SYSN10002215,164400,53,718,0,20251202
SNAPSYSN1000221520251203,SYSN10002215,167300,51,720,2,20251203
SNAPSYSN1000221520251204,SYSN10002215,157200,53,720,0,20251204
SNAPSYSN1000221520251205,SYSN10002215,166300,52,721,1,20251205
SNAPSYSN1000221520251206,SYSN10002215,167800,52,722,1,20251206
SNAPSYSN1000221520251207,SYSN10002215,162700,53,722,0,20251207
SNAPSYSN1000221520251208,SYSN10002215,167600,53,722,0,20251208
SNAPSYSN1000221520251209,SYSN10002215,157300,53,722,0,20251209
SNAPSYSN1000221520251210,SYSN10002215,168200,53,722,0,20251210
SNAPSYSN1000221520251211,SYSN10002215,140200,48,727,5,20251211
SNAPSYSN1000221520251212,SYSN10002215,140200,50,730,3,20251212
SNAPSYSN1000221520251213,SYSN10002215,167600,52,731,1,20251213
SNAPSYSN1000221520251214,SYSN10002215,158200,53,731,0,20251214
SNAPSYSN1000221520251215,SYSN10002215,158800,52,732,1,20251215
SNAPSYSN1000221520251216,SYSN10002215,159000,52,733,1,20251216
SNAPSYSN1000221520251217,SYSN10002215,165700,53,733,0,20251217
SNAPSYSN1000221520251218,SYSN10002215,158400,52,734,1,20251218
SNAPSYSN1000221520251219,SYSN10002215,159400,53,734,0,20251219
SNAPSYSN1000221520251220,SYSN10002215,164600,53,734,0,20251220
SNAPSYSN1000221520251221,SYSN10002215,162600,53,734,0,20251221
SNAPSYSN1000221520251222,SYSN10002215,159100,52,735,1,20251222
SNAPSYSN1000221520251223,SYSN10002215,158300,51,737,2,20251223
SNAPSYSN1000221520251224,SYSN10002215,167500,53,737,0,20251224
SNAPSYSN1000221520251225,SYSN10002215,140200,52,738,1,20251225
SNAPSYSN1000221520251226,SYSN10002215,164400,53,738,0,20251226
SNAPSYSN1000221520251227,SYSN10002215,167400,52,739,1,20251227
SNAPSYSN1000221520251228,SYSN10002215,163200,53,739,0,20251228
SNAPSYSN1000221520251229,SYSN10002215,158400,52,740,1,20251229
SNAPSYSN1000221520251230,SYSN10002215,167900,53,740,0,20251230
SNAPSYSN1000221520251231,SYSN10002215,162100,51,742,2,20251231
SNAPSYSN1000258220251002,SYSN10002582,82400,76,1168,1,20251002
SNAPSYSN1000258220251003,SYSN10002582,84900,75,1170,2,20251003
SNAPSYSN1000258220251004,SYSN10002582,85300,76,1171,1,20251004
SNAPSYSN1000258220251005,SYSN10002582,84000,77,1171,0,20251005
SNAPSYSN1000258220251006,SYSN10002582,85600,77,1171,0,20251006
SNAPSYSN1000258220251007,SYSN10002582,83200,76,1172,1,20251007
SNAPSYSN1000258220251008,SYSN10002582,86200,77,1172,0,20251008
SNAPSYSN1000258220251009,SYSN10002582,73100,76,1173,1,20251009
SNAPSYSN1000258220251010,SYSN10002582,73100,77,1173,0,20251010
SNAPSYSN1000258220251011,SYSN10002582,86700,76,1174,1,20251011
SNAPSYSN1000258220251012,SYSN10002582,82600,77,1174,0,20251012
SNAPSYSN1000258220251013,SYSN10002582,83400,76,1175,1,20251013
SNAPSYSN1000258220251014,SYSN10002582,82400,77,1175,0,20251014
SNAPSYSN1000258220251015,SYSN10002582,82000,77,1175,0,20251015
SNAPSYSN1000258220251016,SYSN10002582,82000,77,1175,0,20251016
SNAPSYSN1000258220251017,SYSN10002582,84100,76,1176,1,20251017
SNAPSYSN1000258220251018,SYSN10002582,84700,77,1176,0,20251018
SNAPSYSN1000258220251019,SYSN10002582,82800,75,1178,2,20251019
SNAPSYSN1000258220251020,SYSN10002582,83200,77,1178,0,20251020
SNAPSYSN1000258220251021,SYSN10002582,84200,77,1178,0,20251021
SNAPSYSN1000258220251022,SYSN10002582,83900,77,1178,0,20251022
SNAPSYSN1000258220251023,SYSN10002582,82300,77,1178,0,20251023
SNAPSYSN1000258220251024,SYSN10002582,87300,76,1179,1,20251024
SNAPSYSN1000258220251025,SYSN10002582,86800,77,1179,0,20251025
SNAPSYSN1000258220251026,SYSN10002582,85600,74,1182,3,20251026
SNAPSYSN1000258220251027,SYSN10002582,84900,76,1183,1,20251027
SNAPSYSN1000258220251028,SYSN10002582,86900,77,1183,0,20251028
SNAPSYSN1000258220251029,SYSN10002582,84000,77,1183,0,20251029
SNAPSYSN1000258220251030,SYSN10002582,82500,76,1184,1,20251030
SNAPSYSN1000258220251031,SYSN10002582,84200,77,1184,0,20251031
SNAPSYSN1000258220251101,SYSN10002582,83900,77,1184,0,20251101
SNAPSYSN1000258220251102,SYSN10002582,83700,77,1184,0,20251102
SNAPSYSN1000258220251103,SYSN10002582,85800,77,1184,0,20251103
SNAPSYSN1000258220251104,SYSN10002582,87400,77,1184,0,20251104
SNAPSYSN1000258220251105,SYSN10002582,83700,76,1185,1,20251105
SNAPSYSN1000258220251106,SYSN10002582,85600,76,1186,1,20251106
SNAPSYSN1000258220251107,SYSN10002582,85500,76,1187,1,20251107
SNAPSYSN1000258220251108,SYSN10002582,86100,77,1187,0,20251108
SNAPSYSN1000258220251109,SYSN10002582,85900,77,1187,0,20251109
SNAPSYSN1000258220251110,SYSN10002582,73100,76,1188,1,20251110
SNAPSYSN1000258220251111,SYSN10002582,73100,74,1191,3,20251111
SNAPSYSN1000258220251112,SYSN10002582,87500,76,1192,1,20251112
SNAPSYSN1000258220251113,SYSN10002582,86400,76,1193,1,20251113
SNAPSYSN1000258220251114,SYSN10002582,85300,75,1195,2,20251114
SNAPSYSN1000258220251115,SYSN10002582,85400,77,1195,0,20251115
SNAPSYSN1000258220251116,SYSN10002582,85100,77,1195,0,20251116
SNAPSYSN1000258220251117,SYSN10002582,84800,76,1196,1,20251117
SNAPSYSN1000258220251118,SYSN10002582,85300,75,1198,2,20251118
SNAPSYSN1000258220251119,SYSN10002582,82400,76,1199,1,20251119
SNAPSYSN1000258220251120,SYSN10002582,85700,77,1199,0,20251120
SNAPSYSN1000258220251121,SYSN10002582,86400,77,1199,0,20251121
SNAPSYSN1000258220251122,SYSN10002582,87100,76,1200,1,20251122
SNAPSYSN1000258220251123,SYSN10002582,83900,76,1201,1,20251123
SNAPSYSN1000258220251124,SYSN10002582,82600,77,1201,0,20251124
SNAPSYSN1000258220251125,SYSN10002582,87300,77,1201,0,20251125
SNAPSYSN1000258220251126,SYSN10002582,84000,77,1201,0,20251126
SNAPSYSN1000258220251127,SYSN10002582,87300,76,1202,1,20251127
SNAPSYSN1000258220251128,SYSN10002582,84000,76,1203,1,20251128
SNAPSYSN1000258220251129,SYSN10002582,86800,74,1206,3,20251129
SNAPSYSN1000258220251130,SYSN10002582,85200,76,1207,1,20251130
SNAPSYSN1000258220251201,SYSN10002582,84400,76,1208,1,20251201
SNAPSYSN1000258220251202,SYSN10002582,84500,76,1209,1,20251202
SNAPSYSN1000258220251203,SYSN10002582,83500,77,1209,0,20251203
SNAPSYSN1000258220251204,SYSN10002582,87700,75,1211,2,20251204
SNAPSYSN1000258220251205,SYSN10002582,86700,76,1212,1,20251205
SNAPSYSN1000258220251206,SYSN10002582,87700,77,1212,0,20251206
SNAPSYSN1000258220251207,SYSN10002582,82200,76,1213,1,20251207
SNAPSYSN1000258220251208,SYSN10002582,83100,76,1214,1,20251208
SNAPSYSN1000258220251209,SYSN10002582,86400,77,1214,0,20251209
SNAPSYSN1000258220251210,SYSN10002582,87200,77,1214,0,20251210
SNAPSYSN1000258220251211,SYSN10002582,73100,76,1215,1,20251211
SNAPSYSN1000258220251212,SYSN10002582,73100,77,1215,0,20251212
SNAPSYSN1000258220251213,SYSN10002582,85300,77,1215,0,20251213
SNAPSYSN1000258220251214,SYSN10002582,86800,76,1216,1,20251214
SNAPSYSN1000258220251215,SYSN10002582,86500,77,1216,0,20251215
SNAPSYSN1000258220251216,SYSN10002582,86700,75,1218,2,20251216
SNAPSYSN1000258220251217,SYSN10002582,82900,77,1218,0,20251217
SNAPSYSN1000258220251218,SYSN10002582,84700,77,1218,0,20251218
SNAPSYSN1000258220251219,SYSN10002582,86800,76,1219,1,20251219
SNAPSYSN1000258220251220,SYSN10002582,86100,77,1219,0,20251220
SNAPSYSN1000258220251221,SYSN10002582,83300,77,1219,0,20251221
SNAPSYSN1000258220251222,SYSN10002582,82000,75,1221,2,20251222
SNAPSYSN1000258220251223,SYSN10002582,87000,76,1222,1,20251223
SNAPSYSN1000258220251224,SYSN10002582,82300,76,1223,1,20251224
SNAPSYSN1000258220251225,SYSN10002582,73100,77,1223,0,20251225
SNAPSYSN1000258220251226,SYSN10002582,86400,76,1224,1,20251226
SNAPSYSN1000258220251227,SYSN10002582,82600,76,1225,1,20251227
SNAPSYSN1000258220251228,SYSN10002582,85200,76,1226,1,20251228
SNAPSYSN1000258220251229,SYSN10002582,87400,76,1227,1,20251229
SNAPSYSN1000258220251230,SYSN10002582,84800,77,1227,0,20251230
SNAPSYSN1000258220251231,SYSN10002582,84600,77,1227,0,20251231
SNAPSYSN1000166220251002,SYSN10001662,564100,45,47,0,20251002
SNAPSYSN1000166220251003,SYSN10001662,571100,45,47,0,20251003
SNAPSYSN1000166220251004,SYSN10001662,583700,45,47,0,20251004
SNAPSYSN1000166220251005,SYSN10001662,575400,44,48,1,20251005
SNAPSYSN1000166220251006,SYSN10001662,582800,45,48,0,20251006
SNAPSYSN1000166220251007,SYSN10001662,560100,45,48,0,20251007
SNAPSYSN1000166220251008,SYSN10001662,578100,45,48,0,20251008
SNAPSYSN1000166220251009,SYSN10001662,499800,45,48,0,20251009
SNAPSYSN1000166220251010,SYSN10001662,499800,41,52,4,20251010
SNAPSYSN1000166220251011,SYSN10001662,591000,45,52,0,20251011
SNAPSYSN1000166220251012,SYSN10001662,576400,45,52,0,20251012
SNAPSYSN1000166220251013,SYSN10001662,579700,44,53,1,20251013
SNAPSYSN1000166220251014,SYSN10001662,580000,42,56,3,20251014
SNAPSYSN1000166220251015,SYSN10001662,593100,44,57,1,20251015
SNAPSYSN1000166220251016,SYSN10001662,563400,45,57,0,20251016
SNAPSYSN1000166220251017,SYSN10001662,593300,45,57,0,20251017
SNAPSYSN1000166220251018,SYSN10001662,570100,45,57,0,20251018
SNAPSYSN1000166220251019,SYSN10001662,565700,45,57,0,20251019
SNAPSYSN1000166220251020,SYSN10001662,589200,45,57,0,20251020
SNAPSYSN1000166220251021,SYSN10001662,592600,45,57,0,20251021
SNAPSYSN1000166220251022,SYSN10001662,564900,44,58,1,20251022
SNAPSYSN1000166220251023,SYSN10001662,573600,44,59,1,20251023
SNAPSYSN1000166220251024,SYSN10001662,586900,42,62,3,20251024
SNAPSYSN1000166220251025,SYSN10001662,585000,44,63,1,20251025
SNAPSYSN1000166220251026,SYSN10001662,567200,45,63,0,20251026
SNAPSYSN1000166220251027,SYSN10001662,565300,45,63,0,20251027
SNAPSYSN1000166220251028,SYSN10001662,593000,45,63,0,20251028
SNAPSYSN1000166220251029,SYSN10001662,593100,44,64,1,20251029
SNAPSYSN1000166220251030,SYSN10001662,577000,44,65,1,20251030
SNAPSYSN1000166220251031,SYSN10001662,561900,45,65,0,20251031
SNAPSYSN1000166220251101,SYSN10001662,577900,44,66,1,20251101
SNAPSYSN1000166220251102,SYSN10001662,566000,45,66,0,20251102
SNAPSYSN1000166220251103,SYSN10001662,568200,44,67,1,20251103
SNAPSYSN1000166220251104,SYSN10001662,578800,45,67,0,20251104
SNAPSYSN1000166220251105,SYSN10001662,562100,44,68,1,20251105
SNAPSYSN1000166220251106,SYSN10001662,593300,45,68,0,20251106
SNAPSYSN1000166220251107,SYSN10001662,586200,44,69,1,20251107
SNAPSYSN1000166220251108,SYSN10001662,573700,44,70,1,20251108
SNAPSYSN1000166220251109,SYSN10001662,593400,44,71,1,20251109
SNAPSYSN1000166220251110,SYSN10001662,499800,40,76,5,20251110
SNAPSYSN1000166220251111,SYSN10001662,499800,41,80,4,20251111
SNAPSYSN1000166220251112,SYSN10001662,596400,45,80,0,20251112
SNAPSYSN1000166220251113,SYSN10001662,572500,44,81,1,20251113
SNAPSYSN1000166220251114,SYSN10001662,559600,45,81,0,20251114
SNAPSYSN1000166220251115,SYSN10001662,571300,44,82,1,20251115
SNAPSYSN1000166220251116,SYSN10001662,570000,44,83,1,20251116
SNAPSYSN1000166220251117,SYSN10001662,599000,44,84,1,20251117
SNAPSYSN1000166220251118,SYSN10001662,589900,44,85,1,20251118
SNAPSYSN1000166220251119,SYSN10001662,594300,42,88,3,20251119
SNAPSYSN1000166220251120,SYSN10001662,588700,45,88,0,20251120
SNAPSYSN1000166220251121,SYSN10001662,581400,45,88,0,20251121
SNAPSYSN1000166220251122,SYSN10001662,588800,42,91,3,20251122
SNAPSYSN1000166220251123,SYSN10001662,563700,44,92,1,20251123
SNAPSYSN1000166220251124,SYSN10001662,590600,45,92,0,20251124
SNAPSYSN1000166220251125,SYSN10001662,599200,45,92,0,20251125
SNAPSYSN1000166220251126,SYSN10001662,598900,45,92,0,20251126
SNAPSYSN1000166220251127,SYSN10001662,591300,45,92,0,20251127
SNAPSYSN1000166220251128,SYSN10001662,581500,45,92,0,20251128
SNAPSYSN1000166220251129,SYSN10001662,573900,42,95,3,20251129
SNAPSYSN1000166220251130,SYSN10001662,563100,45,95,0,20251130
SNAPSYSN1000166220251201,SYSN10001662,590400,44,96,1,20251201
SNAPSYSN1000166220251202,SYSN10001662,560600,43,98,2,20251202
SNAPSYSN1000166220251203,SYSN10001662,584200,45,98,0,20251203
SNAPSYSN1000166220251204,SYSN10001662,579800,44,99,1,20251204
SNAPSYSN1000166220251205,SYSN10001662,575100,44,100,1,20251205
SNAPSYSN1000166220251206,SYSN10001662,593700,43,102,2,20251206
SNAPSYSN1000166220251207,SYSN10001662,593700,45,102,0,20251207
SNAPSYSN1000166220251208,SYSN10001662,582900,45,102,0,20251208
SNAPSYSN1000166220251209,SYSN10001662,569900,45,102,0,20251209
SNAPSYSN1000166220251210,SYSN10001662,562100,44,103,1,20251210
SNAPSYSN1000166220251211,SYSN10001662,499800,43,105,2,20251211
SNAPSYSN1000166220251212,SYSN10001662,499800,42,108,3,20251212
SNAPSYSN1000166220251213,SYSN10001662,583100,43,110,2,20251213
SNAPSYSN1000166220251214,SYSN10001662,596300,45,110,0,20251214
SNAPSYSN1000166220251215,SYSN10001662,564100,45,110,0,20251215
SNAPSYSN1000166220251216,SYSN10001662,561400,45,110,0,20251216
SNAPSYSN1000166220251217,SYSN10001662,559300,45,110,0,20251217
SNAPSYSN1000166220251218,SYSN10001662,584700,45,110,0,20251218
SNAPSYSN1000166220251219,SYSN10001662,575900,45,110,0,20251219
SNAPSYSN1000166220251220,SYSN10001662,570300,43,112,2,20251220
SNAPSYSN1000166220251221,SYSN10001662,572000,44,113,1,20251221
SNAPSYSN1000166220251222,SYSN10001662,589200,44,114,1,20251222
SNAPSYSN1000166220251223,SYSN10001662,570900,44,115,1,20251223
SNAPSYSN1000166220251224,SYSN10001662,571900,45,115,0,20251224
SNAPSYSN1000166220251225,SYSN10001662,499800,45,115,0,20251225
SNAPSYSN1000166220251226,SYSN10001662,581700,44,116,1,20251226
SNAPSYSN1000166220251227,SYSN10001662,578200,43,118,2,20251227
SNAPSYSN1000166220251228,SYSN10001662,595700,43,120,2,20251228
SNAPSYSN1000166220251229,SYSN10001662,581700,44,121,1,20251229
SNAPSYSN1000166220251230,SYSN10001662,585500,45,121,0,20251230
SNAPSYSN1000166220251231,SYSN10001662,576400,44,122,1,20251231
SNAPSYSN1000302720251002,SYSN10003027,222800,295,270,0,20251002
SNAPSYSN1000302720251003,SYSN10003027,208700,295,270,0,20251003
SNAPSYSN1000302720251004,SYSN10003027,209100,295,270,0,20251004
SNAPSYSN1000302720251005,SYSN10003027,216000,295,270,0,20251005
SNAPSYSN1000302720251006,SYSN10003027,208800,295,270,0,20251006
SNAPSYSN1000302720251007,SYSN10003027,213900,295,270,0,20251007
SNAPSYSN1000302720251008,SYSN10003027,218800,295,270,0,20251008
SNAPSYSN1000302720251009,SYSN10003027,186200,295,270,0,20251009
SNAPSYSN1000302720251010,SYSN10003027,186200,293,272,2,20251010
SNAPSYSN1000302720251011,SYSN10003027,209800,295,272,0,20251011
SNAPSYSN1000302720251012,SYSN10003027,215800,294,273,1,20251012
SNAPSYSN1000302720251013,SYSN10003027,213200,295,273,0,20251013
SNAPSYSN1000302720251014,SYSN10003027,220000,295,273,0,20251014
SNAPSYSN1000302720251015,SYSN10003027,213000,294,274,1,20251015
SNAPSYSN1000302720251016,SYSN10003027,215400,295,274,0,20251016
SNAPSYSN1000302720251017,SYSN10003027,213100,294,275,1,20251017
SNAPSYSN1000302720251018,SYSN10003027,215100,294,276,1,20251018
SNAPSYSN1000302720251019,SYSN10003027,208800,294,277,1,20251019
SNAPSYSN1000302720251020,SYSN10003027,222100,295,277,0,20251020
SNAPSYSN1000302720251021,SYSN10003027,210900,295,277,0,20251021
SNAPSYSN1000302720251022,SYSN10003027,209700,295,277,0,20251022
SNAPSYSN1000302720251023,SYSN10003027,216800,294,278,1,20251023
SNAPSYSN1000302720251024,SYSN10003027,208100,294,279,1,20251024
SNAPSYSN1000302720251025,SYSN10003027,219900,293,281,2,20251025
SNAPSYSN1000302720251026,SYSN10003027,222100,294,282,1,20251026
SNAPSYSN1000302720251027,SYSN10003027,217300,295,282,0,20251027
SNAPSYSN1000302720251028,SYSN10003027,220500,294,283,1,20251028
SNAPSYSN1000302720251029,SYSN10003027,220300,295,283,0,20251029
SNAPSYSN1000302720251030,SYSN10003027,214400,294,284,1,20251030
SNAPSYSN1000302720251031,SYSN10003027,209200,295,284,0,20251031
SNAPSYSN1000302720251101,SYSN10003027,213400,295,284,0,20251101
SNAPSYSN1000302720251102,SYSN10003027,210600,295,284,0,20251102
SNAPSYSN1000302720251103,SYSN10003027,212900,293,286,2,20251103
SNAPSYSN1000302720251104,SYSN10003027,210300,293,288,2,20251104
SNAPSYSN1000302720251105,SYSN10003027,215800,294,289,1,20251105
SNAPSYSN1000302720251106,SYSN10003027,208300,294,290,1,20251106
SNAPSYSN1000302720251107,SYSN10003027,221800,293,292,2,20251107
SNAPSYSN1000302720251108,SYSN10003027,212200,293,294,2,20251108
SNAPSYSN1000302720251109,SYSN10003027,217200,295,294,0,20251109
SNAPSYSN1000302720251110,SYSN10003027,186200,292,297,3,20251110
SNAPSYSN1000302720251111,SYSN10003027,186200,289,303,6,20251111
SNAPSYSN1000302720251112,SYSN10003027,219700,293,305,2,20251112
SNAPSYSN1000302720251113,SYSN10003027,215900,294,306,1,20251113
SNAPSYSN1000302720251114,SYSN10003027,220300,295,306,0,20251114
SNAPSYSN1000302720251115,SYSN10003027,209500,294,307,1,20251115
SNAPSYSN1000302720251116,SYSN10003027,218500,294,308,1,20251116
SNAPSYSN1000302720251117,SYSN10003027,222800,295,308,0,20251117
SNAPSYSN1000302720251118,SYSN10003027,211100,295,308,0,20251118
SNAPSYSN1000302720251119,SYSN10003027,215300,293,310,2,20251119
SNAPSYSN1000302720251120,SYSN10003027,216000,293,312,2,20251120
SNAPSYSN1000302720251121,SYSN10003027,216800,293,314,2,20251121
SNAPSYSN1000302720251122,SYSN10003027,221900,295,314,0,20251122
SNAPSYSN1000302720251123,SYSN10003027,211200,293,316,2,20251123
SNAPSYSN1000302720251124,SYSN10003027,223100,294,317,1,20251124
SNAPSYSN1000302720251125,SYSN10003027,219100,295,317,0,20251125
SNAPSYSN1000302720251126,SYSN10003027,212900,294,318,1,20251126
SNAPSYSN1000302720251127,SYSN10003027,214300,294,319,1,20251127
SNAPSYSN1000302720251128,SYSN10003027,211100,293,321,2,20251128
SNAPSYSN1000302720251129,SYSN10003027,214100,295,321,0,20251129
SNAPSYSN1000302720251130,SYSN10003027,210500,295,321,0,20251130
SNAPSYSN1000302720251201,SYSN10003027,222700,294,322,1,20251201
SNAPSYSN1000302720251202,SYSN10003027,209600,295,322,0,20251202
SNAPSYSN1000302720251203,SYSN10003027,211100,293,324,2,20251203
SNAPSYSN1000302720251204,SYSN10003027,216100,295,324,0,20251204
SNAPSYSN1000302720251205,SYSN10003027,208700,294,325,1,20251205
SNAPSYSN1000302720251206,SYSN10003027,215600,293,327,2,20251206
SNAPSYSN1000302720251207,SYSN10003027,211900,295,327,0,20251207
SNAPSYSN1000302720251208,SYSN10003027,219800,295,327,0,20251208
SNAPSYSN1000302720251209,SYSN10003027,210200,290,332,5,20251209
SNAPSYSN1000302720251210,SYSN10003027,216500,295,332,0,20251210
SNAPSYSN1000302720251211,SYSN10003027,186200,295,332,0,20251211
SNAPSYSN1000302720251212,SYSN10003027,186200,290,337,5,20251212
SNAPSYSN1000302720251213,SYSN10003027,212600,293,339,2,20251213
SNAPSYSN1000302720251214,SYSN10003027,214300,295,339,0,20251214
SNAPSYSN1000302720251215,SYSN10003027,222500,293,341,2,20251215
SNAPSYSN1000302720251216,SYSN10003027,221800,295,341,0,20251216
SNAPSYSN1000302720251217,SYSN10003027,212100,295,341,0,20251217
SNAPSYSN1000302720251218,SYSN10003027,214400,294,342,1,20251218
SNAPSYSN1000302720251219,SYSN10003027,218900,294,343,1,20251219
SNAPSYSN1000302720251220,SYSN10003027,216200,293,345,2,20251220
SNAPSYSN1000302720251221,SYSN10003027,211800,295,345,0,20251221
SNAPSYSN1000302720251222,SYSN10003027,222500,295,345,0,20251222
SNAPSYSN1000302720251223,SYSN10003027,215600,293,347,2,20251223
SNAPSYSN1000302720251224,SYSN10003027,214700,294,348,1,20251224
SNAPSYSN1000302720251225,SYSN10003027,186200,295,348,0,20251225
SNAPSYSN1000302720251226,SYSN10003027,222600,295,348,0,20251226
SNAPSYSN1000302720251227,SYSN10003027,216500,293,350,2,20251227
SNAPSYSN1000302720251228,SYSN10003027,211900,295,350,0,20251228
SNAPSYSN1000302720251229,SYSN10003027,209900,295,350,0,20251229
SNAPSYSN1000302720251230,SYSN10003027,217400,294,351,1,20251230
SNAPSYSN1000302720251231,SYSN10003027,216200,294,352,1,20251231
SNAPSYSN1000434320251002,SYSN10004343,124300,147,137,0,20251002
SNAPSYSN1000434320251003,SYSN10004343,119900,146,138,1,20251003
SNAPSYSN1000434320251004,SYSN10004343,123800,147,138,0,20251004
SNAPSYSN1000434320251005,SYSN10004343,116300,147,138,0,20251005
SNAPSYSN1000434320251006,SYSN10004343,122700,147,138,0,20251006
SNAPSYSN1000434320251007,SYSN10004343,122300,147,138,0,20251007
SNAPSYSN1000434320251008,SYSN10004343,123800,146,139,1,20251008
SNAPSYSN1000434320251009,SYSN10004343,103700,146,140,1,20251009
SNAPSYSN1000434320251010,SYSN10004343,103700,147,140,0,20251010
SNAPSYSN1000434320251011,SYSN10004343,116400,146,141,1,20251011
SNAPSYSN1000434320251012,SYSN10004343,117000,147,141,0,20251012
SNAPSYSN1000434320251013,SYSN10004343,121300,147,141,0,20251013
SNAPSYSN1000434320251014,SYSN10004343,123800,147,141,0,20251014
SNAPSYSN1000434320251015,SYSN10004343,122100,147,141,0,20251015
SNAPSYSN1000434320251016,SYSN10004343,121500,147,141,0,20251016
SNAPSYSN1000434320251017,SYSN10004343,119900,147,141,0,20251017
SNAPSYSN1000434320251018,SYSN10004343,117400,146,142,1,20251018
SNAPSYSN1000434320251019,SYSN10004343,116200,146,143,1,20251019
