ma_giao_dich,ma_khach_hang,ma_san_pham,ngay_giao_dich,gia_tri_sau_giam,co_bat_thuong,phan_vi_25,phan_vi_75,khoang_tu_phan_vi
TX0000011240523001,CUS0000011,SYSN10002596,2024-05-23,78200,0,80800.0,128200.0,47400.0
TX0000012231204000,CUS0000012,SYSN10006017,2023-12-04,53100,0,52550.0,95100.0,42550.0
TX0000013250304000,CUS0000013,SYSN10000895,2025-03-04,1427800,0,518575.0,1333600.0,815025.0
TX0000013250310001,CUS0000013,SYSN10002455,2025-03-10,1342800,0,664550.0,1773450.0,1108900.0
TX0000013250408002,CUS0000013,SYSN10001790,2025-04-08,662500,0,642725.0,1855000.0,1212275.0
TX0000013250514003,CUS0000013,SYSN10001065,2025-05-14,2364800,0,849725.0,1578125.0,728400.0
TX0000013250630004,CUS0000013,SYSN10001851,2025-06-30,1871400,0,522600.0,1510400.0,987800.0
TX0000013250913005,CUS0000013,SYSN10007934,2025-09-13,3004400,0,760500.0,1904400.0,1143900.0
TX0000013250916006,CUS0000013,SYSN10004666,2025-09-16,569700,0,537875.0,1589850.0,1051975.0
TX0000013251212008,CUS0000013,SYSN10001751,2025-12-12,1387500,0,814800.0,1689000.0,874200.0
TX0000013251227009,CUS0000013,SYSN10007333,2025-12-27,523900,0,507950.0,1138350.0,630400.0
TX0000014230727000,CUS0000014,SYSN10002097,2023-07-27,100600,0,102200.0,108050.0,5850.0
TX0000014230804001,CUS0000014,SYSN10002082,2023-08-04,100300,0,96750.0,103250.0,6500.0
TX0000014251210002,CUS0000014,SYSN10001232,2025-12-10,170100,0,199650.0,247450.0,47800.0
TX0000015250402000,CUS0000015,SYSN10004909,2025-04-02,186700,0,152975.0,325375.0,172400.0
TX0000015250512001,CUS0000015,SYSN10000419,2025-05-12,117600,0,117600.0,224100.0,106500.0
TX0000015250624002,CUS0000015,SYSN10004364,2025-06-24,118300,0,114825.0,134425.0,19600.0
TX0000015251130003,CUS0000015,SYSN10007619,2025-11-30,152600,0,146600.0,282525.0,135925.0
TX0000015251202004,CUS0000015,SYSN10000618,2025-12-02,586200,0,280250.0,491100.0,210850.0
TX0000015251211005,CUS0000015,SYSN10004411,2025-12-11,68900,0,143600.0,241300.0,97700.0
TX0000016230705000,CUS0000016,SYSN10000858,2023-07-05,44200,0,41600.0,75300.0,33700.0
TX0000016241211001,CUS0000016,SYSN10001752,2024-12-11,77800,0,190050.0,416550.0,226500.0
TX0000016250225002,CUS0000016,SYSN10004257,2025-02-25,139100,0,117100.0,134000.0,16900.0
TX0000017240603000,CUS0000017,SYSN10000990,2024-06-03,115900,0,112200.0,121200.0,9000.0
TX0000017240617001,CUS0000017,SYSN10000026,2024-06-17,328500,1,91475.0,161325.0,69850.0
TX0000017241029002,CUS0000017,SYSN10004608,2024-10-29,178100,0,173600.0,365450.0,191850.0
TX0000017241127003,CUS0000017,SYSN10005455,2024-11-27,727800,0,402575.0,842650.0,440075.0
TX0000017241202004,CUS0000017,SYSN10003364,2024-12-02,209700,0,204750.0,243900.0,39150.0
TX0000017250315005,CUS0000017,SYSN10001273,2025-03-15,535800,1,171525.0,272400.0,100875.0
TX0000017250410006,CUS0000017,SYSN10001600,2025-04-10,920900,0,471700.0,1018350.0,546650.0
TX0000017250417007,CUS0000017,SYSN10002649,2025-04-17,176500,0,160850.0,354450.0,193600.0
TX0000017250430008,CUS0000017,SYSN10006459,2025-04-30,178500,0,119100.0,213900.0,94800.0
TX0000017250524009,CUS0000017,SYSN10002533,2025-05-24,159600,0,119750.0,154850.0,35100.0
TX0000017251109010,CUS0000017,SYSN10000814,2025-11-09,194500,0,98600.0,158400.0,59800.0
TX0000017251118011,CUS0000017,SYSN10004100,2025-11-18,815200,0,336400.0,669800.0,333400.0
TX0000018250819000,CUS0000018,SYSN10001202,2025-08-19,147200,0,121600.0,143750.0,22150.0
TX0000018251010001,CUS0000018,SYSN10006360,2025-10-10,190900,0,294000.0,633400.0,339400.0
TX0000019251112000,CUS0000019,SYSN10005078,2025-11-12,87800,0,91300.0,161425.0,70125.0
TX0000019251118002,CUS0000019,SYSN10007528,2025-11-18,449300,0,268275.0,454875.0,186600.0
TX0000019251121003,CUS0000019,SYSN10003659,2025-11-21,179600,0,160375.0,259425.0,99050.0
TX0000019251202006,CUS0000019,SYSN10003984,2025-12-02,253100,0,238050.0,251850.0,13800.0
TX0000019251204008,CUS0000019,SYSN10003980,2025-12-04,166000,0,154500.0,179400.0,24900.0
TX0000019251223010,CUS0000019,SYSN10004228,2025-12-23,759000,0,233400.0,461900.0,228500.0
TX0000019251226011,CUS0000019,SYSN10007333,2025-12-26,1018000,0,507950.0,1138350.0,630400.0
TX0000020251125000,CUS0000020,SYSN10006405,2025-11-25,155400,0,163900.0,191900.0,28000.0
TX0000020251128002,CUS0000020,SYSN10000802,2025-11-28,1015500,0,298850.0,595250.0,296400.0
TX0000020251128003,CUS0000020,SYSN10001883,2025-11-28,177900,0,159250.0,177875.0,18625.0
TX0000020251201004,CUS0000020,SYSN10003412,2025-12-01,150700,0,149875.0,167825.0,17950.0
TX0000020251206006,CUS0000020,SYSN10006626,2025-12-06,250800,1,103900.0,118100.0,14200.0
TX0000020251222008,CUS0000020,SYSN10001615,2025-12-22,367700,0,393525.0,801900.0,408375.0
TX0000020251227009,CUS0000020,SYSN10005158,2025-12-27,495700,0,471000.0,865400.0,394400.0
TX0000020251227010,CUS0000020,SYSN10002945,2025-12-27,210000,0,217000.0,231000.0,14000.0
TX0000020251229011,CUS0000020,SYSN10001857,2025-12-29,603500,1,171900.0,272600.0,100700.0
TX0000021251119000,CUS0000021,SYSN10004228,2025-11-19,240600,0,233400.0,461900.0,228500.0
TX0000021251208001,CUS0000021,SYSN10000750,2025-12-08,233300,0,225000.0,376600.0,151600.0
TX0000022231028000,CUS0000022,SYSN10003377,2023-10-28,319100,0,314575.0,672600.0,358025.0
TX0000022231104001,CUS0000022,SYSN10002680,2023-11-04,1781300,1,480350.0,975200.0,494850.0
TX0000022231121003,CUS0000022,SYSN10005612,2023-11-21,705800,0,935675.0,2263250.0,1327575.0
TX0000023230308000,CUS0000023,SYSN10000895,2023-03-08,535700,0,518575.0,1333600.0,815025.0
TX0000023230311001,CUS0000023,SYSN10000574,2023-03-11,1871300,0,510550.0,1284500.0,773950.0
TX0000023230411002,CUS0000023,SYSN10001160,2023-04-11,593000,0,704300.0,1637500.0,933200.0
TX0000023230503004,CUS0000023,SYSN10000895,2023-05-03,524000,0,518575.0,1333600.0,815025.0
TX0000023230516005,CUS0000023,SYSN10007322,2023-05-16,5679900,0,1839200.0,5649975.0,3810775.0
TX0000023230602006,CUS0000023,SYSN10000574,2023-06-02,2626000,1,510550.0,1284500.0,773950.0
TX0000023230603007,CUS0000023,SYSN10004401,2023-06-03,1789400,0,544675.0,1447875.0,903200.0
TX0000023230606008,CUS0000023,SYSN10002096,2023-06-06,776500,0,490900.0,1339750.0,848850.0
TX0000023230619009,CUS0000023,SYSN10007535,2023-06-19,2647200,0,665100.0,1540750.0,875650.0
TX0000023230729010,CUS0000023,SYSN10002623,2023-07-29,1727700,0,550000.0,1246950.0,696950.0
TX0000023230730011,CUS0000023,SYSN10005821,2023-07-30,1039500,0,510950.0,989250.0,478300.0
TX0000023230814012,CUS0000023,SYSN10007951,2023-08-14,1462500,0,642500.0,1369400.0,726900.0
TX0000023230822013,CUS0000023,SYSN10004320,2023-08-22,582000,0,582050.0,1446600.0,864550.0
TX0000023230828014,CUS0000023,SYSN10007971,2023-08-28,472400,0,523525.0,1437475.0,913950.0
TX0000023230904015,CUS0000023,SYSN10006885,2023-09-04,1110600,0,1036525.0,2905125.0,1868600.0
TX0000023230909016,CUS0000023,SYSN10002880,2023-09-09,2627500,0,1985725.0,4243050.0,2257325.0
TX0000023230910017,CUS0000023,SYSN10005531,2023-09-10,1875000,0,618150.0,1830675.0,1212525.0
TX0000023231006018,CUS0000023,SYSN10002455,2023-10-06,1409200,0,664550.0,1773450.0,1108900.0
TX0000023231024019,CUS0000023,SYSN10000574,2023-10-24,2694500,1,510550.0,1284500.0,773950.0
TX0000023231119020,CUS0000023,SYSN10005513,2023-11-19,995600,0,918575.0,2361775.0,1443200.0
TX0000023231212021,CUS0000023,SYSN10004254,2023-12-12,1557100,0,484100.0,1361200.0,877100.0
TX0000023231216022,CUS0000023,SYSN10005513,2023-12-16,928700,0,918575.0,2361775.0,1443200.0
TX0000023231217023,CUS0000023,SYSN10005120,2023-12-17,1465500,0,507300.0,1489400.0,982100.0
TX0000023240110024,CUS0000023,SYSN10001287,2024-01-10,1829700,0,621725.0,1344050.0,722325.0
TX0000023240214025,CUS0000023,SYSN10000340,2024-02-14,738800,0,536000.0,1118400.0,582400.0
TX0000023240223026,CUS0000023,SYSN10007377,2024-02-23,3111600,0,712950.0,1997775.0,1284825.0
TX0000023240316027,CUS0000023,SYSN10004804,2024-03-16,1789000,0,660000.0,1507800.0,847800.0
TX0000023240316028,CUS0000023,SYSN10006201,2024-03-16,1070500,0,565100.0,1511375.0,946275.0
TX0000023240414029,CUS0000023,SYSN10004351,2024-04-14,2224300,0,1369800.0,3579650.0,2209850.0
TX0000023240528031,CUS0000023,SYSN10001196,2024-05-28,1300200,0,687300.0,1617250.0,929950.0
TX0000023240622032,CUS0000023,SYSN10007322,2024-06-22,9010000,0,1839200.0,5649975.0,3810775.0
TX0000023240706033,CUS0000023,SYSN10006892,2024-07-06,1024400,0,525325.0,1231800.0,706475.0
TX0000023240714034,CUS0000023,SYSN10006349,2024-07-14,1023400,0,489400.0,1178400.0,689000.0
TX0000023240810035,CUS0000023,SYSN10006638,2024-08-10,516100,0,582100.0,1453000.0,870900.0
TX0000023240816036,CUS0000023,SYSN10002096,2024-08-16,481500,0,490900.0,1339750.0,848850.0
TX0000023240907038,CUS0000023,SYSN10005154,2024-09-07,699100,0,685450.0,1833700.0,1148250.0
TX0000023240910039,CUS0000023,SYSN10002644,2024-09-10,1201800,0,571700.0,1603300.0,1031600.0
TX0000023240913040,CUS0000023,SYSN10003774,2024-09-13,660600,0,794500.0,2185900.0,1391400.0
TX0000023240922041,CUS0000023,SYSN10007412,2024-09-22,1017100,0,1010250.0,2912250.0,1902000.0
TX0000023241001042,CUS0000023,SYSN10002876,2024-10-01,450300,0,649250.0,1804825.0,1155575.0
TX0000023241019043,CUS0000023,SYSN10003829,2024-10-19,714800,0,692750.0,1450000.0,757250.0
TX0000023241027044,CUS0000023,SYSN10000574,2024-10-27,966300,0,510550.0,1284500.0,773950.0
TX0000023241111045,CUS0000023,SYSN10006885,2024-11-11,951100,0,1036525.0,2905125.0,1868600.0
TX0000023241201046,CUS0000023,SYSN10002880,2024-12-01,1989500,0,1985725.0,4243050.0,2257325.0
TX0000023241212047,CUS0000023,SYSN10000322,2024-12-12,272100,0,615750.0,1318500.0,702750.0
TX0000023241221048,CUS0000023,SYSN10000574,2024-12-21,455300,0,510550.0,1284500.0,773950.0
TX0000023250106049,CUS0000023,SYSN10002751,2025-01-06,1131700,0,662900.0,1380200.0,717300.0
TX0000023250331051,CUS0000023,SYSN10005334,2025-03-31,632200,0,659750.0,1398400.0,738650.0
TX0000023250403052,CUS0000023,SYSN10003712,2025-04-03,1580400,0,536450.0,1255325.0,718875.0
TX0000023250430053,CUS0000023,SYSN10005415,2025-04-30,750600,0,490100.0,1407600.0,917500.0
TX0000023250602054,CUS0000023,SYSN10000574,2025-06-02,1078600,0,510550.0,1284500.0,773950.0
TX0000023250701055,CUS0000023,SYSN10002850,2025-07-01,1089200,0,524500.0,1089200.0,564700.0
TX0000023250710056,CUS0000023,SYSN10006298,2025-07-10,2949400,0,899350.0,2248550.0,1349200.0
TX0000023250717057,CUS0000023,SYSN10002043,2025-07-17,1044700,0,556850.0,1451550.0,894700.0
TX0000023250816058,CUS0000023,SYSN10004334,2025-08-16,2099800,0,614100.0,1505400.0,891300.0
TX0000023250820059,CUS0000023,SYSN10004254,2025-08-20,1478400,0,484100.0,1361200.0,877100.0
TX0000023251006061,CUS0000023,SYSN10004401,2025-10-06,1686300,0,544675.0,1447875.0,903200.0
TX0000023251012062,CUS0000023,SYSN10000285,2025-10-12,590400,0,598450.0,1684050.0,1085600.0
TX0000023251214064,CUS0000023,SYSN10006393,2025-12-14,1471600,0,578300.0,1542300.0,964000.0
TX0000023251229065,CUS0000023,SYSN10007283,2025-12-29,389000,0,525400.0,1628700.0,1103300.0
TX0000024230605000,CUS0000024,SYSN10005189,2023-06-05,121300,0,117000.0,248200.0,131200.0
TX0000024231102001,CUS0000024,SYSN10001459,2023-11-02,333000,0,295550.0,614450.0,318900.0
TX0000024240910002,CUS0000024,SYSN10003550,2024-09-10,994800,0,433875.0,919875.0,486000.0
TX0000024250222003,CUS0000024,SYSN10002724,2025-02-22,166000,0,167650.0,192300.0,24650.0
TX0000024251214005,CUS0000024,SYSN10002608,2025-12-14,231200,0,260850.0,463275.0,202425.0
TX0000025251018000,CUS0000025,SYSN10003361,2025-10-18,159700,0,156400.0,183550.0,27150.0
TX0000025251130002,CUS0000025,SYSN10003993,2025-11-30,339800,1,159350.0,198000.0,38650.0
TX0000025251130003,CUS0000025,SYSN10000631,2025-11-30,135500,0,118750.0,141950.0,23200.0
TX0000025251220004,CUS0000025,SYSN10001650,2025-12-20,177000,0,176775.0,184250.0,7475.0
TX0000025251227005,CUS0000025,SYSN10007276,2025-12-27,128900,0,113300.0,131450.0,18150.0
TX0000026250524000,CUS0000026,SYSN10007869,2025-05-24,113800,0,104175.0,165400.0,61225.0
TX0000026250826001,CUS0000026,SYSN10006598,2025-08-26,314200,0,288250.0,305550.0,17300.0
TX0000026251225002,CUS0000026,SYSN10000609,2025-12-25,99600,0,107375.0,203375.0,96000.0
TX0000027241202000,CUS0000027,SYSN10001734,2024-12-02,947300,0,355750.0,756300.0,400550.0
TX0000027241202001,CUS0000027,SYSN10003888,2024-12-02,537900,0,658450.0,1636950.0,978500.0
TX0000027241210002,CUS0000027,SYSN10005441,2024-12-10,605200,0,280375.0,576750.0,296375.0
TX0000027241212003,CUS0000027,SYSN10001620,2024-12-12,348700,0,280500.0,586025.0,305525.0
TX0000027241212004,CUS0000027,SYSN10007054,2024-12-12,366700,0,406725.0,820700.0,413975.0
TX0000027241221005,CUS0000027,SYSN10007043,2024-12-21,688800,0,415900.0,997725.0,581825.0
TX0000027241227006,CUS0000027,SYSN10001211,2024-12-27,372600,0,318425.0,372275.0,53850.0
TX0000027241227007,CUS0000027,SYSN10005295,2024-12-27,1422300,0,738500.0,1539600.0,801100.0
TX0000027241228008,CUS0000027,SYSN10001821,2024-12-28,625500,0,307750.0,637500.0,329750.0
TX0000027241229009,CUS0000027,SYSN10005513,2024-12-29,3059400,0,918575.0,2361775.0,1443200.0
TX0000028250803000,CUS0000028,SYSN10004821,2025-08-03,221700,0,231500.0,452000.0,220500.0
TX0000028250827001,CUS0000028,SYSN10003873,2025-08-27,102500,0,89950.0,135500.0,45550.0
TX0000029241202000,CUS0000029,SYSN10001949,2024-12-02,163100,0,194300.0,393400.0,199100.0
TX0000029241212001,CUS0000029,SYSN10001673,2024-12-12,80200,0,90375.0,140000.0,49625.0
TX0000029241217003,CUS0000029,SYSN10001476,2024-12-17,901800,0,424100.0,935400.0,511300.0
TX0000029241220004,CUS0000029,SYSN10005044,2024-12-20,125400,0,122250.0,143100.0,20850.0
TX0000030250315000,CUS0000030,SYSN10000291,2025-03-15,43800,0,43800.0,43800.0,0.0
TX0000030250925001,CUS0000030,SYSN10007306,2025-09-25,109700,0,112050.0,269300.0,157250.0
TX0000031240617000,CUS0000031,SYSN10006472,2024-06-17,107400,0,100100.0,106900.0,6800.0
TX0000031241004002,CUS0000031,SYSN10004358,2024-10-04,133900,0,110525.0,138225.0,27700.0
TX0000031241103003,CUS0000031,SYSN10007218,2024-11-03,123700,0,114350.0,234125.0,119775.0
TX0000031241108004,CUS0000031,SYSN10004744,2024-11-08,278800,0,148175.0,300350.0,152175.0
TX0000031241212006,CUS0000031,SYSN10006648,2024-12-12,634700,0,522700.0,1229950.0,707250.0
TX0000031241228007,CUS0000031,SYSN10000598,2024-12-28,755700,0,272600.0,469650.0,197050.0
TX0000031250307008,CUS0000031,SYSN10007812,2025-03-07,297900,0,174075.0,274800.0,100725.0
TX0000031250523009,CUS0000031,SYSN10003047,2025-05-23,230600,0,199625.0,355900.0,156275.0
TX0000031250922010,CUS0000031,SYSN10002872,2025-09-22,927600,0,270100.0,625300.0,355200.0
TX0000031251012011,CUS0000031,SYSN10002327,2025-10-12,159800,0,142325.0,335800.0,193475.0
TX0000032240419000,CUS0000032,SYSN10007738,2024-04-19,58600,0,58600.0,58600.0,0.0
TX0000032241010001,CUS0000032,SYSN10005117,2024-10-10,30400,0,43450.0,56700.0,13250.0
TX0000032241124002,CUS0000032,SYSN10006866,2024-11-24,22500,0,22500.0,22500.0,0.0
TX0000033241203000,CUS0000033,SYSN10000501,2024-12-03,153400,0,81250.0,129350.0,48100.0
TX0000033241224001,CUS0000033,SYSN10004338,2024-12-24,133200,0,133200.0,165100.0,31900.0
TX0000033241226002,CUS0000033,SYSN10007020,2024-12-26,139500,0,122100.0,144100.0,22000.0
TX0000034251024000,CUS0000034,SYSN10004986,2025-10-24,161100,0,172700.0,352600.0,179900.0
TX0000034251106001,CUS0000034,SYSN10006490,2025-11-06,654000,0,304775.0,589350.0,284575.0
TX0000034251212002,CUS0000034,SYSN10007031,2025-12-12,78000,1,115900.0,129700.0,13800.0
TX0000035231219000,CUS0000035,SYSN10004922,2023-12-19,335400,0,335950.0,682100.0,346150.0
TX0000035231227002,CUS0000035,SYSN10005341,2023-12-27,362700,0,120850.0,239500.0,118650.0
TX0000036230623000,CUS0000036,SYSN10004368,2023-06-23,329500,0,331000.0,706900.0,375900.0
TX0000036230917001,CUS0000036,SYSN10000059,2023-09-17,172600,0,157325.0,220275.0,62950.0
TX0000036231106002,CUS0000036,SYSN10005158,2023-11-06,865400,0,471000.0,865400.0,394400.0
TX0000036240205004,CUS0000036,SYSN10001534,2024-02-05,103600,0,95350.0,151050.0,55700.0
TX0000036240522005,CUS0000036,SYSN10000067,2024-05-22,231900,0,204800.0,238600.0,33800.0
TX0000037250105000,CUS0000037,SYSN10000876,2025-01-05,102200,0,107425.0,206675.0,99250.0
TX0000037251209001,CUS0000037,SYSN10006926,2025-12-09,36100,0,25500.0,31500.0,6000.0
TX0000038240911000,CUS0000038,SYSN10005149,2024-09-11,399600,1,191650.0,272775.0,81125.0
TX0000038250913001,CUS0000038,SYSN10003355,2025-09-13,81800,0,81800.0,99900.0,18100.0
TX0000038250922002,CUS0000038,SYSN10005077,2025-09-22,132800,0,132800.0,141900.0,9100.0
TX0000038251111004,CUS0000038,SYSN10005472,2025-11-11,50900,0,88725.0,186000.0,97275.0
TX0000039251113000,CUS0000039,SYSN10001058,2025-11-13,184100,0,102100.0,201600.0,99500.0
TX0000039251118001,CUS0000039,SYSN10003282,2025-11-18,43900,0,40475.0,47075.0,6600.0
TX0000039251216002,CUS0000039,SYSN10003605,2025-12-16,158900,0,163650.0,292625.0,128975.0
TX0000040231115000,CUS0000040,SYSN10001034,2023-11-15,93900,0,91150.0,147400.0,56250.0
TX0000040240718001,CUS0000040,SYSN10005346,2024-07-18,237600,0,70425.0,173250.0,102825.0
TX0000040240906002,CUS0000040,SYSN10003814,2024-09-06,397100,0,213200.0,304700.0,91500.0
TX0000041250327000,CUS0000041,SYSN10002024,2025-03-27,230900,0,216575.0,247850.0,31275.0
TX0000041251117001,CUS0000041,SYSN10003209,2025-11-17,212300,0,107775.0,234600.0,126825.0
TX0000042230509000,CUS0000042,SYSN10000666,2023-05-09,455600,0,181825.0,456750.0,274925.0
TX0000042230830001,CUS0000042,SYSN10007046,2023-08-30,512800,0,485000.0,1047200.0,562200.0
TX0000042240109002,CUS0000042,SYSN10006225,2024-01-09,199800,0,182650.0,199375.0,16725.0
TX0000042240430003,CUS0000042,SYSN10004590,2024-04-30,102700,1,145000.0,159200.0,14200.0
TX0000042250201004,CUS0000042,SYSN10007250,2025-02-01,132000,0,132625.0,142425.0,9800.0
TX0000042250713005,CUS0000042,SYSN10007670,2025-07-13,175300,0,175300.0,196900.0,21600.0
TX0000043240809000,CUS0000043,SYSN10001385,2024-08-09,165500,0,181625.0,258725.0,77100.0
TX0000043240917001,CUS0000043,SYSN10007706,2024-09-17,182300,0,182300.0,364000.0,181700.0
TX0000043241101002,CUS0000043,SYSN10003522,2024-11-01,104700,0,107350.0,127375.0,20025.0
TX0000043241204003,CUS0000043,SYSN10007273,2024-12-04,187200,0,114750.0,158800.0,44050.0
TX0000043241212004,CUS0000043,SYSN10000437,2024-12-12,41200,1,103175.0,108875.0,5700.0
TX0000044221114000,CUS0000044,SYSN10000956,2022-11-14,117300,0,141400.0,169900.0,28500.0
TX0000044230426001,CUS0000044,SYSN10004067,2023-04-26,488700,0,164300.0,337800.0,173500.0
TX0000044230830002,CUS0000044,SYSN10003357,2023-08-30,236200,0,112300.0,235500.0,123200.0
TX0000044240407003,CUS0000044,SYSN10006244,2024-04-07,308100,1,86900.0,95800.0,8900.0
TX0000044240617004,CUS0000044,SYSN10006573,2024-06-17,110100,0,101250.0,107950.0,6700.0
TX0000044240726005,CUS0000044,SYSN10001229,2024-07-26,104100,0,100175.0,192350.0,92175.0
TX0000044240914006,CUS0000044,SYSN10007210,2024-09-14,550800,0,205300.0,416000.0,210700.0
TX0000044241119007,CUS0000044,SYSN10007097,2024-11-19,439200,0,293750.0,726050.0,432300.0
TX0000044250216009,CUS0000044,SYSN10001993,2025-02-16,194500,0,180025.0,396550.0,216525.0
TX0000044251030010,CUS0000044,SYSN10005308,2025-10-30,163600,0,159400.0,178400.0,19000.0
TX0000045230829000,CUS0000045,SYSN10006522,2023-08-29,467600,0,433000.0,844900.0,411900.0
TX0000045230909001,CUS0000045,SYSN10007629,2023-09-09,836500,0,381400.0,769800.0,388400.0
TX0000045231107002,CUS0000045,SYSN10003317,2023-11-07,641200,0,662700.0,1984700.0,1322000.0
TX0000045231109003,CUS0000045,SYSN10006305,2023-11-09,643800,0,323125.0,620425.0,297300.0
TX0000045231110004,CUS0000045,SYSN10003190,2023-11-10,131600,0,276900.0,513700.0,236800.0
TX0000045231212005,CUS0000045,SYSN10006438,2023-12-12,585900,0,428325.0,929975.0,501650.0
TX0000045240112006,CUS0000045,SYSN10006750,2024-01-12,684800,0,419625.0,742950.0,323325.0
TX0000045240120007,CUS0000045,SYSN10004460,2024-01-20,842600,0,373425.0,845000.0,471575.0
TX0000045240204008,CUS0000045,SYSN10006252,2024-02-04,727100,0,349300.0,736400.0,387100.0
TX0000045240223009,CUS0000045,SYSN10006730,2024-02-23,703500,0,699725.0,1482600.0,782875.0
TX0000045240610011,CUS0000045,SYSN10004747,2024-06-10,388300,0,384200.0,854825.0,470625.0
TX0000045240612012,CUS0000045,SYSN10001573,2024-06-12,1111300,0,446600.0,887750.0,441150.0
TX0000045240731014,CUS0000045,SYSN10007889,2024-07-31,614500,0,298375.0,604100.0,305725.0
TX0000045240824015,CUS0000045,SYSN10005439,2024-08-24,349400,0,372800.0,764200.0,391400.0
TX0000045240825016,CUS0000045,SYSN10001620,2024-08-25,311900,0,280500.0,586025.0,305525.0
