ma_khach_hang,ngay_mua_gan_nhat,tan_suat_mua,tong_chi_tieu,gia_tri_don_hang_tb,ngay_mua_dau_tien,tong_so_luong_mua,so_danh_muc_da_mua,danh_muc_yeu_thich,so_ngay_tu_lan_mua_cuoi,tuoi_tho_khach_hang,diem_R,diem_F,diem_M,diem_RFM_ma_hoa,diem_RFM_tong,phan_khuc_rfm,ngay_snapshot
CUS0000034,2025-01-13,3,1075000,358333,2024-08-02,4,3,Moisturizer,351,164,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000035,2022-09-26,2,2319000,1159500,2022-09-22,6,2,Cleanser,1191,4,1,1,4,114,6,Lost,2025-12-31
CUS0000036,2025-06-26,5,1120000,224000,2024-04-19,8,3,Moisturizer,187,433,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0000037,2023-02-19,2,659000,329500,2023-02-07,4,1,Serum,1045,12,1,1,3,113,5,Lost,2025-12-31
CUS0000038,2024-03-06,4,724000,181000,2023-10-09,6,4,Cleanser,664,149,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000039,2024-03-05,3,1222000,407333,2023-07-28,5,2,Sunscreen,665,221,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000040,2023-03-25,3,1164000,388000,2022-12-16,4,2,Moisturizer,1011,99,2,3,3,233,8,At Risk,2025-12-31
CUS0000041,2022-03-31,2,916000,458000,2022-02-15,3,1,Serum,1370,44,1,1,3,113,5,Lost,2025-12-31
CUS0000042,2024-07-18,6,2459000,409833,2023-09-03,8,3,Moisturizer,530,319,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000043,2024-12-20,5,1455000,291000,2024-07-13,9,4,Cleanser,375,160,4,4,4,444,12,Champions,2025-12-31
CUS0000044,2025-06-14,10,4457000,445700,2023-07-04,18,4,Sunscreen,199,711,4,5,5,455,14,Champions,2025-12-31
CUS0000045,2024-12-13,24,7775000,323958,2022-11-27,42,5,Moisturizer,382,747,4,5,5,455,14,Champions,2025-12-31
CUS0000046,2024-04-07,5,4309000,861800,2023-02-17,7,4,Toner,632,415,3,4,5,345,12,Loyal Customers,2025-12-31
CUS0000047,2023-07-03,6,1420000,236667,2022-07-12,6,4,Moisturizer,911,356,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0000048,2025-12-12,24,9609000,400375,2024-06-17,37,5,Sunscreen,18,543,5,5,5,555,15,Champions,2025-12-31
CUS0000049,2025-11-16,3,2242000,747333,2025-09-09,7,2,Cleanser,44,68,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0000050,2023-09-27,3,770000,256667,2023-03-07,7,2,Sunscreen,825,204,2,3,3,233,8,At Risk,2025-12-31
CUS0000051,2024-07-31,2,208000,104000,2024-07-21,2,2,Moisturizer,517,10,3,1,1,311,5,Need Attention,2025-12-31
CUS0000052,2025-12-09,22,7007000,318500,2023-11-17,34,5,Cleanser,21,753,5,5,5,555,15,Champions,2025-12-31
CUS0000053,2024-04-23,3,1445000,481667,2023-12-01,6,2,Sunscreen,616,144,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000054,2025-12-29,26,7529000,289577,2025-08-06,47,5,Toner,1,145,5,5,5,555,15,Champions,2025-12-31
CUS0000055,2025-01-06,2,426000,213000,2024-09-23,2,2,Serum,358,105,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000056,2025-05-27,12,3560000,296667,2022-11-06,21,5,Serum,217,933,4,5,5,455,14,Champions,2025-12-31
CUS0000057,2024-11-11,4,1676000,419000,2024-09-17,7,2,Sunscreen,414,55,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0000058,2025-11-07,9,1924000,213778,2024-09-18,14,5,Serum,53,415,5,5,4,554,14,Champions,2025-12-31
CUS0000059,2024-08-04,6,1283000,213833,2023-09-01,9,2,Serum,513,338,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000060,2024-12-07,8,2736000,342000,2023-09-22,22,5,Cleanser,388,442,4,4,5,445,13,Champions,2025-12-31
CUS0000061,2025-06-02,4,771000,192750,2024-12-09,7,3,Serum,211,175,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000062,2025-12-24,11,4134000,375818,2025-07-03,19,5,Serum,6,174,5,5,5,555,15,Champions,2025-12-31
CUS0000063,2022-10-17,2,245000,122500,2022-09-11,2,2,Sunscreen,1170,36,1,1,1,111,3,Lost,2025-12-31
CUS0000064,2024-05-15,2,538000,269000,2023-11-05,3,1,Sunscreen,594,192,3,1,2,312,6,Need Attention,2025-12-31
CUS0000065,2024-02-26,10,2912000,291200,2022-02-20,18,4,Moisturizer,673,736,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0000066,2024-10-17,6,1576000,262667,2023-09-10,9,5,Moisturizer,439,403,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000067,2025-10-11,3,1968000,656000,2025-07-03,4,3,Moisturizer,80,100,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0000068,2024-08-30,5,1751000,350200,2023-12-11,10,3,Cleanser,487,263,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000069,2023-10-05,6,1648000,274667,2022-05-10,9,4,Moisturizer,817,513,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0000070,2022-12-27,5,1473000,294600,2022-02-09,7,2,Sunscreen,1099,321,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0000071,2022-06-26,4,619000,154750,2022-04-09,6,3,Serum,1283,78,1,3,2,132,6,At Risk,2025-12-31
CUS0000072,2025-12-27,26,10870000,418077,2024-03-02,41,5,Cleanser,3,665,5,5,5,555,15,Champions,2025-12-31
CUS0000073,2024-09-07,3,1627000,542333,2024-04-22,5,3,Sunscreen,479,138,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000074,2023-06-30,2,597000,298500,2023-03-08,2,1,Serum,914,114,2,1,2,212,5,Hibernating,2025-12-31
CUS0000075,2025-11-25,1,123000,123000,2025-11-25,2,1,Cleanser,36,0,5,1,1,511,7,Recent Customers,2025-12-31
CUS0000076,2025-03-27,2,2038000,1019000,2024-12-23,6,2,Moisturizer,278,94,4,1,4,414,9,Recent Customers,2025-12-31
CUS0000077,2025-08-20,26,8041000,309269,2024-08-17,39,5,Serum,132,368,4,5,5,455,14,Champions,2025-12-31
CUS0000078,2025-12-30,12,4237000,353083,2025-02-12,25,5,Serum,0,321,5,5,5,555,15,Champions,2025-12-31
CUS0000079,2022-11-17,2,512000,256000,2022-10-05,2,2,Toner,1139,43,1,1,2,112,4,Lost,2025-12-31
CUS0000080,2023-04-26,4,618000,154500,2022-12-28,6,3,Sunscreen,979,119,2,3,2,232,7,At Risk,2025-12-31
CUS0000081,2023-04-18,2,344000,172000,2023-02-23,4,2,Moisturizer,987,54,2,1,2,212,5,Hibernating,2025-12-31
CUS0000082,2023-03-02,1,228000,228000,2023-03-02,1,1,Cleanser,1035,0,1,1,1,111,3,Lost,2025-12-31
CUS0000083,2022-08-13,3,685000,228333,2022-04-06,7,3,Serum,1235,129,1,3,3,133,7,At Risk,2025-12-31
CUS0000084,2023-03-26,3,744000,248000,2022-10-23,4,2,Sunscreen,1010,154,2,3,3,233,8,At Risk,2025-12-31
CUS0000085,2023-01-17,2,367000,183500,2022-10-27,3,2,Moisturizer,1078,82,1,1,2,112,4,Lost,2025-12-31
CUS0000086,2022-05-02,3,1254000,418000,2022-04-15,4,3,Serum,1338,17,1,3,4,134,8,At Risk,2025-12-31
CUS0000087,2023-07-17,1,103000,103000,2023-07-17,1,1,Sunscreen,898,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0000088,2025-11-17,4,840000,210000,2025-09-10,5,2,Cleanser,43,68,5,3,3,533,11,Loyal Customers,2025-12-31
CUS0000089,2024-05-11,3,1323000,441000,2023-09-04,5,2,Toner,598,250,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000090,2024-09-10,2,587000,293500,2024-06-09,2,2,Toner,476,93,3,1,2,312,6,Need Attention,2025-12-31
CUS0000091,2022-05-16,3,1663000,554333,2022-02-27,6,3,Sunscreen,1324,78,1,3,4,134,8,At Risk,2025-12-31
CUS0000092,2023-08-02,4,1572000,393000,2023-03-27,7,3,Toner,881,128,2,3,4,234,9,At Risk,2025-12-31
CUS0000093,2022-02-14,3,897000,299000,2022-01-14,4,2,Sunscreen,1415,31,1,3,3,133,7,At Risk,2025-12-31
CUS0000094,2023-01-28,5,1913000,382600,2022-05-10,7,5,Serum,1067,263,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0000095,2022-09-21,2,156000,78000,2022-07-03,2,2,Sunscreen,1196,80,1,1,1,111,3,Lost,2025-12-31
CUS0000096,2022-09-27,5,1668000,333600,2022-05-07,10,4,Serum,1190,143,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0000097,2024-03-09,3,518000,172667,2023-12-01,3,2,Sunscreen,661,99,3,3,2,332,8,Potential Loyalists,2025-12-31
CUS0000098,2025-05-21,3,1356000,452000,2025-02-05,6,2,Moisturizer,223,105,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0000099,2025-12-17,9,2730000,303333,2023-08-05,14,4,Serum,13,865,5,5,5,555,15,Champions,2025-12-31
CUS0000100,2024-08-10,12,10888000,907333,2022-11-02,18,4,Serum,507,647,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0000101,2024-02-18,3,459000,153000,2023-11-16,5,3,Sunscreen,681,94,3,3,2,332,8,Potential Loyalists,2025-12-31
CUS0000102,2025-09-21,13,3600000,276923,2022-12-08,22,4,Serum,100,1018,5,5,5,555,15,Champions,2025-12-31
CUS0000103,2025-08-03,5,1138000,227600,2024-05-03,6,3,Serum,149,457,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0000104,2023-04-06,3,475000,158333,2022-09-22,3,3,Sunscreen,999,196,2,3,2,232,7,At Risk,2025-12-31
CUS0000105,2025-02-18,3,385000,128333,2024-11-20,3,3,Toner,315,90,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0000106,2023-01-25,6,2120000,353333,2022-03-24,11,4,Sunscreen,1070,307,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0000107,2024-04-10,3,818000,272667,2023-12-15,4,2,Sunscreen,629,117,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000108,2024-03-15,12,4889000,407417,2022-08-26,22,5,Serum,655,567,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0000109,2025-12-28,11,1667000,151545,2025-11-14,15,5,Serum,2,44,5,5,4,554,14,Champions,2025-12-31
CUS0000110,2023-05-15,3,940000,313333,2022-09-26,6,3,Serum,960,231,2,3,3,233,8,At Risk,2025-12-31
CUS0000111,2022-07-03,2,522000,261000,2022-07-03,3,2,Cleanser,1276,0,1,1,2,112,4,Lost,2025-12-31
CUS0000112,2024-03-20,6,1405000,234167,2022-09-05,8,4,Serum,650,562,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000113,2025-10-12,11,3385000,307727,2024-06-22,19,4,Serum,79,477,5,5,5,555,15,Champions,2025-12-31
CUS0000114,2025-02-08,5,870000,174000,2024-11-13,6,4,Cleanser,325,87,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0000115,2025-11-21,14,2111000,150786,2024-10-20,19,5,Toner,39,397,5,5,4,554,14,Champions,2025-12-31
CUS0000116,2023-03-17,2,459000,229500,2023-02-18,2,2,Cleanser,1019,27,2,1,2,212,5,Hibernating,2025-12-31
CUS0000117,2025-04-20,2,480000,240000,2024-12-14,3,2,Cleanser,254,127,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000118,2023-07-17,3,1205000,401667,2023-03-18,7,2,Sunscreen,897,121,2,3,4,234,9,At Risk,2025-12-31
CUS0000119,2023-06-27,3,751000,250333,2023-03-08,3,2,Sunscreen,917,111,2,3,3,233,8,At Risk,2025-12-31
CUS0000120,2024-07-30,3,266000,88667,2024-05-08,3,3,Serum,518,83,3,3,1,331,7,Potential Loyalists,2025-12-31
CUS0000121,2023-01-28,4,374000,93500,2022-05-07,5,3,Cleanser,1067,266,1,3,2,132,6,At Risk,2025-12-31
CUS0000122,2023-03-18,4,978000,244500,2022-05-04,4,3,Moisturizer,1018,318,2,3,3,233,8,At Risk,2025-12-31
CUS0000123,2025-10-26,2,779000,389500,2025-09-19,5,1,Moisturizer,65,37,5,1,3,513,9,Recent Customers,2025-12-31
CUS0000124,2023-10-21,1,103000,103000,2023-10-21,1,1,Moisturizer,802,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0000125,2024-04-25,2,414000,207000,2024-03-11,6,2,Sunscreen,614,45,3,1,2,312,6,Need Attention,2025-12-31
CUS0000126,2024-10-06,14,3814000,272429,2022-03-14,22,5,Moisturizer,450,937,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0000127,2023-03-01,6,1479000,246500,2022-02-25,9,5,Sunscreen,1035,369,1,4,4,144,9,Cant Lose Them,2025-12-31
CUS0000128,2023-02-07,2,141000,70500,2022-12-24,2,2,Cleanser,1057,45,1,1,1,111,3,Lost,2025-12-31
CUS0000129,2025-11-11,3,1342000,447333,2025-08-18,7,3,Sunscreen,49,85,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0000130,2023-01-28,3,601000,200333,2022-08-10,7,3,Cleanser,1067,171,1,3,2,132,6,At Risk,2025-12-31
CUS0000131,2025-12-08,22,8355000,379773,2022-04-03,38,5,Serum,22,1345,5,5,5,555,15,Champions,2025-12-31
CUS0000132,2022-11-08,3,1640000,546667,2022-10-10,4,2,Serum,1148,29,1,3,4,134,8,At Risk,2025-12-31
CUS0000133,2023-01-22,3,401000,133667,2022-10-21,3,3,Cleanser,1073,93,1,3,2,132,6,At Risk,2025-12-31
CUS0000134,2024-02-22,2,426000,213000,2024-02-03,3,2,Serum,677,19,3,1,2,312,6,Need Attention,2025-12-31
CUS0000135,2023-07-16,3,912000,304000,2023-04-02,9,3,Serum,898,105,2,3,3,233,8,At Risk,2025-12-31
CUS0000136,2024-11-02,2,226000,113000,2024-10-04,3,2,Moisturizer,423,29,4,1,1,411,6,Recent Customers,2025-12-31
CUS0000137,2023-11-04,2,301000,150500,2023-07-16,3,2,Moisturizer,787,111,2,1,1,211,4,Hibernating,2025-12-31
CUS0000138,2025-10-21,2,984000,492000,2025-07-28,4,2,Serum,70,85,5,1,3,513,9,Recent Customers,2025-12-31
CUS0000139,2025-12-20,4,902000,225500,2025-10-11,7,4,Serum,10,70,5,3,3,533,11,Loyal Customers,2025-12-31
CUS0000140,2022-09-16,1,146000,146000,2022-09-16,2,1,Cleanser,1202,0,1,1,1,111,3,Lost,2025-12-31
CUS0000141,2022-10-30,3,1115000,371667,2022-06-24,5,3,Serum,1157,128,1,3,3,133,7,At Risk,2025-12-31
CUS0000142,2023-11-16,13,7633000,587154,2023-07-21,19,4,Sunscreen,775,118,2,5,5,255,12,Cant Lose Them,2025-12-31
CUS0000143,2023-02-20,3,577000,192333,2023-01-07,4,3,Sunscreen,1044,44,1,3,2,132,6,At Risk,2025-12-31
CUS0000144,2025-12-14,3,587000,195667,2025-07-23,4,3,Sunscreen,16,144,5,3,2,532,10,Potential Loyalists,2025-12-31
CUS0000145,2025-02-08,5,793000,158600,2024-10-13,5,3,Serum,325,118,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0000146,2024-10-01,1,337000,337000,2024-10-01,1,1,Sunscreen,456,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0000147,2023-04-16,3,1033000,344333,2022-08-11,4,3,Moisturizer,989,248,2,3,3,233,8,At Risk,2025-12-31
CUS0000148,2022-07-20,3,1059000,353000,2022-03-28,5,3,Sunscreen,1259,114,1,3,3,133,7,At Risk,2025-12-31
CUS0000149,2025-10-27,3,1032000,344000,2025-03-15,7,3,Sunscreen,64,226,5,3,3,533,11,Loyal Customers,2025-12-31
CUS0000150,2023-04-17,3,600000,200000,2023-02-16,4,3,Sunscreen,988,60,2,3,2,232,7,At Risk,2025-12-31
CUS0000151,2023-12-19,4,1201000,300250,2023-02-27,8,2,Cleanser,742,295,2,3,4,234,9,At Risk,2025-12-31
CUS0000152,2023-04-30,4,1848000,462000,2022-06-01,8,3,Moisturizer,975,333,2,3,4,234,9,At Risk,2025-12-31
CUS0000153,2024-12-14,2,1480000,740000,2024-11-26,7,2,Sunscreen,381,18,4,1,4,414,9,Recent Customers,2025-12-31
CUS0000154,2025-03-08,2,932000,466000,2024-09-04,4,2,Sunscreen,297,185,4,1,3,413,8,Recent Customers,2025-12-31
CUS0000155,2025-11-18,2,453000,226500,2025-11-12,2,2,Serum,42,6,5,1,2,512,8,Recent Customers,2025-12-31
CUS0000156,2025-12-15,13,3764000,289538,2024-11-10,20,5,Sunscreen,15,400,5,5,5,555,15,Champions,2025-12-31
CUS0000157,2025-02-03,6,4099000,683167,2023-06-13,10,3,Sunscreen,330,601,4,4,5,445,13,Champions,2025-12-31
CUS0000158,2025-04-18,3,670000,223333,2024-11-02,5,2,Serum,256,167,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000159,2025-10-02,13,2832000,217846,2024-04-18,16,5,Serum,89,532,5,5,5,555,15,Champions,2025-12-31
CUS0000160,2024-12-16,6,1985000,330833,2024-03-18,11,3,Serum,379,273,4,4,4,444,12,Champions,2025-12-31
CUS0000161,2023-01-13,6,790000,131667,2022-07-08,8,3,Sunscreen,1082,189,1,4,3,143,8,At Risk,2025-12-31
CUS0000162,2023-02-25,3,688000,229333,2022-07-12,7,2,Sunscreen,1039,228,1,3,3,133,7,At Risk,2025-12-31
CUS0000163,2025-09-01,2,506000,253000,2025-06-21,3,1,Serum,120,72,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000164,2024-09-08,12,2269000,189083,2022-05-23,16,4,Serum,478,839,3,5,4,354,12,Loyal Customers,2025-12-31
CUS0000165,2025-11-11,5,1063000,212600,2025-02-06,8,3,Moisturizer,49,278,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0000166,2023-04-19,4,1517000,379250,2022-06-18,7,2,Sunscreen,986,305,2,3,4,234,9,At Risk,2025-12-31
CUS0000167,2025-05-17,11,3638000,330727,2023-10-05,15,5,Serum,227,590,4,5,5,455,14,Champions,2025-12-31
CUS0000168,2023-11-14,3,1744000,581333,2023-10-04,11,2,Cleanser,777,41,2,3,4,234,9,At Risk,2025-12-31
CUS0000169,2025-09-14,12,3479000,289917,2024-10-24,17,5,Moisturizer,107,325,5,5,5,555,15,Champions,2025-12-31
CUS0000170,2025-05-10,10,2455000,245500,2022-12-09,17,3,Serum,234,883,4,5,4,454,13,Champions,2025-12-31
CUS0000171,2022-09-10,3,989000,329667,2022-03-18,6,2,Cleanser,1207,176,1,3,3,133,7,At Risk,2025-12-31
CUS0000172,2024-07-11,2,344000,172000,2024-06-09,2,2,Cleanser,537,32,3,1,2,312,6,Need Attention,2025-12-31
CUS0000173,2023-02-13,5,5795000,1159000,2022-12-23,11,2,Sunscreen,1051,52,1,4,5,145,10,Cant Lose Them,2025-12-31
CUS0000174,2024-03-27,3,1134000,378000,2023-10-13,5,3,Sunscreen,643,166,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000175,2024-08-18,3,1322000,440667,2024-01-06,4,3,Serum,499,225,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000176,2023-09-25,3,650000,216667,2023-02-25,5,1,Cleanser,827,212,2,3,2,232,7,At Risk,2025-12-31
CUS0000177,2023-09-24,3,1270000,423333,2023-07-24,5,3,Serum,828,62,2,3,4,234,9,At Risk,2025-12-31
CUS0000178,2025-12-23,62,28557000,460597,2022-12-17,104,5,Serum,7,1102,5,5,5,555,15,Champions,2025-12-31
CUS0000179,2023-11-24,2,806000,403000,2023-07-17,4,2,Moisturizer,767,130,2,1,3,213,6,Hibernating,2025-12-31
CUS0000180,2024-07-22,3,2053000,684333,2024-04-02,8,3,Sunscreen,526,111,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000181,2023-01-05,2,562000,281000,2022-12-15,3,1,Serum,1090,21,1,1,2,112,4,Lost,2025-12-31
CUS0000182,2024-07-20,9,5210000,578889,2022-12-20,13,3,Serum,528,578,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0000183,2023-06-08,1,309000,309000,2023-06-08,1,1,Sunscreen,937,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0000184,2025-11-05,5,1466000,293200,2025-05-14,11,2,Serum,55,175,5,4,4,544,13,Champions,2025-12-31
CUS0000185,2024-02-04,1,378000,378000,2024-02-04,2,1,Moisturizer,696,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0000186,2022-10-11,3,500000,166667,2022-07-13,3,2,Serum,1176,90,1,3,2,132,6,At Risk,2025-12-31
CUS0000187,2025-11-27,6,3300000,550000,2025-09-05,12,5,Toner,33,83,5,4,5,545,14,Champions,2025-12-31
CUS0000188,2025-12-29,10,4347000,434700,2025-05-06,25,5,Serum,1,237,5,5,5,555,15,Champions,2025-12-31
CUS0000189,2025-10-09,25,6308000,252320,2022-08-18,38,5,Serum,82,1148,5,5,5,555,15,Champions,2025-12-31
CUS0000190,2025-11-16,5,1122000,224400,2025-01-19,5,3,Serum,44,301,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0000191,2025-03-14,2,250000,125000,2025-02-20,2,2,Sunscreen,291,22,4,1,1,411,6,Recent Customers,2025-12-31
CUS0000192,2024-12-07,3,732000,244000,2024-07-28,4,2,Cleanser,388,132,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000193,2025-11-04,27,12250000,453704,2023-03-24,43,5,Serum,56,956,5,5,5,555,15,Champions,2025-12-31
CUS0000194,2025-07-26,4,700000,175000,2024-09-27,10,3,Cleanser,157,302,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000195,2025-12-06,54,25032000,463556,2022-01-16,89,5,Serum,24,1420,5,5,5,555,15,Champions,2025-12-31
CUS0000196,2024-01-16,4,1954000,488500,2023-07-18,7,4,Moisturizer,714,182,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000197,2024-10-23,4,818000,204500,2023-09-02,6,3,Moisturizer,433,417,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000198,2025-11-06,2,256000,128000,2025-06-11,2,1,Toner,54,148,5,1,1,511,7,Recent Customers,2025-12-31
CUS0000199,2025-04-08,1,328000,328000,2025-04-08,2,1,Cleanser,267,0,4,1,1,411,6,Recent Customers,2025-12-31
CUS0000200,2024-06-20,1,172000,172000,2024-06-20,1,1,Cleanser,559,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0000201,2025-04-06,2,331000,165500,2024-10-25,4,2,Serum,268,163,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000202,2024-04-18,3,1422000,474000,2023-12-06,6,2,Serum,621,134,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000203,2025-10-06,24,8731000,363792,2023-12-16,44,5,Serum,85,660,5,5,5,555,15,Champions,2025-12-31
CUS0000204,2025-12-07,8,1501000,187625,2025-11-12,15,4,Serum,23,25,5,4,4,544,13,Champions,2025-12-31
