ma_san_pham,ma_cua_hang,ten_san_pham,gia_niem_yet,diem_danh_gia,so_luot_danh_gia,so_luot_thich,ma_thuong_hieu,ma_danh_muc
SYSN10000110,SH4189885,Bioderma Phục hồi Lotion Moisturizer,440000,4.6,36,51,3,2
SYSN10000111,SH8395785,Garnier Làm dịu Essence Toner,53000,4.5,109,59,10,5
SYSN10000112,SH3217273,Hasaki Phục hồi Retinol Serum,341000,4.6,132,221,12,3
SYSN10000113,SH5951651,Anessa Hiệu quả Oil Cleanser,206000,4.5,800,1295,1,1
SYSN10000114,SH7667458,Murad VN Cao cấp Retinol Serum,2405000,4.9,3,5,19,3
SYSN10000115,SH5398338,Neutrogena Tăng cường Niacinamide Serum,617000,5.0,2,2,20,3
SYSN10000116,SH4713925,St. Ives Tăng cường Water Resistant Sunscreen,79000,4.9,17,25,30,4
SYSN10000117,SH6106390,Clean & Clear Dưỡng ẩm SPF 50+ Sunscreen,86000,4.7,74,147,6,4
SYSN10000118,SH8031780,Hada Labo Nhẹ nhàng AHA/BHA Serum,584000,4.3,2,2,11,3
SYSN10000119,SH7216461,Laneige Dưỡng ẩm PA++++ Sunscreen,2036000,4.9,23,18,18,4
SYSN10000120,SH2015861,Rovectin Tăng cường AHA/BHA Serum,520000,4.5,4,4,24,3
SYSN10000121,SH1358318,St. Ives Chuyên sâu Retinol Serum,145000,4.9,39,22,30,3
SYSN10000122,SH4623062,L'Oreal Phục hồi Eye Cream Moisturizer,173000,4.7,286,491,16,2
SYSN10000123,SH5205279,Senka Chống lão hóa Exfoliating Toner,108000,4.6,40,67,26,5
SYSN10000124,SH6431983,SK-II Sáng da Gel Moisturizer,2544000,4.4,35,18,25,2
SYSN10000125,SH7074006,Cosrx Làm mềm Niacinamide Serum,561000,4.9,4,5,8,3
SYSN10000126,SH6060517,Cocoon Kiểm soát nhờn Low pH Cleanser,101000,4.5,33,39,7,1
SYSN10000127,SH8441741,Clean & Clear Nhẹ nhàng Night Cream Moisturizer,103000,4.1,1418,865,6,2
SYSN10000128,SH6455706,Estee Lauder Kiểm soát nhờn Balm Cleanser,1483000,4.4,28,29,9,1
SYSN10000129,SH4607488,Hada Labo Trắng sáng Daily Sunscreen,405000,5.0,412,471,11,4
SYSN10000130,SH6243275,Hada Labo Cấp nước PA++++ Sunscreen,368000,4.2,67,100,11,4
SYSN10000131,SH8245685,Cocoon Trắng sáng Vitamin C Serum,247000,4.8,10,6,7,3
SYSN10000132,SH8095702,SK-II Tăng cường Niacinamide Serum,1648000,4.8,32,57,25,3
SYSN10000133,SH9089795,Cosrx Chống lão hóa SPF 30 Sunscreen,408000,5.0,36,30,8,4
SYSN10000134,SH1440466,Neutrogena Cao cấp Brightening Toner,230000,4.7,133,187,20,5
SYSN10000135,SH6701311,Estee Lauder Thiên nhiên Micellar Cleanser,1383000,4.5,2,2,9,1
SYSN10000136,SH2539438,Simple Dưỡng ẩm AHA/BHA Serum,144000,4.5,181,293,28,3
SYSN10000137,SH2425342,Cetaphil Hiệu quả PA++++ Sunscreen,198000,4.2,767,1399,5,4
SYSN10000138,SH8416270,CeraVe Làm mềm Brightening Toner,238000,4.5,31,34,4,5
SYSN10000139,SH9164342,Cosrx Sáng da Low pH Cleanser,195000,4.8,31,40,8,1
SYSN10000140,SH3302417,Cocoon Phục hồi Hyaluronic Acid Serum,138000,4.7,71,116,7,3
SYSN10000141,SH4860617,Hada Labo Kiểm soát nhờn Niacinamide Serum,346000,4.4,203,253,11,3
SYSN10000142,SH2306317,Some By Mi Thiên nhiên Tint Sunscreen,365000,4.6,382,684,29,4
SYSN10000143,SH6448705,Clean & Clear Dưỡng ẩm Oil Cleanser,102000,4.8,30,22,6,1
SYSN10000144,SH8309439,Cocoon Phục hồi Essence Toner,169000,4.7,13,17,7,5
SYSN10000145,SH9564488,Cetaphil Trắng sáng SPF 30 Sunscreen,281000,4.7,147,213,5,4
SYSN10000146,SH3477824,Vaseline Cao cấp AHA/BHA Serum,134000,4.9,118,100,34,3
SYSN10000147,SH8783840,Simple Làm mềm AHA/BHA Serum,202000,4.0,1893,3088,28,3
SYSN10000148,SH6303930,Shiseido VN Tăng cường Balm Cleanser,849000,4.8,56,40,27,1
SYSN10000149,SH2244712,Neutrogena Kiểm soát nhờn PA++++ Sunscreen,477000,4.7,25,24,20,4
SYSN10000150,SH9507186,Simple Sáng da Vitamin C Serum,217000,5.0,54,58,28,3
SYSN10000151,SH4158134,Senka Chuyên sâu Eye Cream Moisturizer,167000,4.3,1270,1247,26,2
SYSN10000152,SH2414808,CeraVe Nhẹ nhàng Hyaluronic Acid Serum,464000,4.7,131,164,4,3
SYSN10000153,SH7105194,Innisfree Chống lão hóa Peptide Serum,392000,4.9,310,328,13,3
SYSN10000154,SH6614484,Klairs Chuyên sâu Daily Sunscreen,461000,4.8,1,0,15,4
SYSN10000155,SH3522845,Rovectin Cao cấp Balm Cleanser,214000,4.3,78,78,24,1
SYSN10000156,SH2421349,Rovectin Chống lão hóa Niacinamide Serum,691000,4.4,29,27,24,3
SYSN10000157,SH7070468,Simple Kiểm soát nhờn Brightening Toner,105000,5.0,77,40,28,5
SYSN10000158,SH2294615,Innisfree Chống lão hóa Gel Moisturizer,227000,4.4,4,3,13,2
SYSN10000159,SH7320310,Senka Chống lão hóa Pore Care Toner,105000,4.9,7,5,26,5
SYSN10000160,SH7111929,Garnier Cấp nước Gel Cleanser,118000,5.0,36,54,10,1
SYSN10000161,SH8868776,Innisfree Làm dịu SPF 30 Sunscreen,272000,4.5,109,202,13,4
SYSN10000162,SH7406756,Innisfree Hiệu quả Micellar Cleanser,303000,4.7,33,41,13,1
SYSN10000163,SH9062973,Klairs Dưỡng ẩm Hyaluronic Acid Serum,354000,4.6,143,258,15,3
SYSN10000164,SH8538325,Simple Làm dịu Retinol Serum,95000,4.5,31,57,28,3
SYSN10000165,SH1447451,Murad VN Thiên nhiên PA++++ Sunscreen,1437000,4.3,9,10,19,4
SYSN10000166,SH2662338,Cosrx Tăng cường SPF 50+ Sunscreen,498000,4.6,19,33,8,4
SYSN10000167,SH3328554,Estee Lauder Nhẹ nhàng Brightening Toner,832000,4.6,114,186,9,5
SYSN10000168,SH9854536,Cocoon Kiểm soát nhờn Foam Cleanser,139000,4.2,51,57,7,1
SYSN10000169,SH2053729,Sulwhasoo Làm mềm Water Resistant Sunscreen,766000,4.0,32,21,31,4
SYSN10000170,SH1026245,L'Oreal Cấp nước Micellar Cleanser,135000,4.3,17,24,16,1
SYSN10000171,SH9825812,Simple Trắng sáng PA++++ Sunscreen,99000,4.7,4,5,28,4
SYSN10000172,SH1272499,Cocoon Làm dịu Hyaluronic Acid Serum,283000,4.8,99,102,7,3
SYSN10000173,SH6578736,Simple Hiệu quả AHA/BHA Serum,167000,4.5,40,28,28,3
SYSN10000174,SH4058117,St. Ives Chuyên sâu Tint Sunscreen,112000,4.5,894,1535,30,4
SYSN10000175,SH1703065,Neutrogena Thiên nhiên Exfoliating Toner,288000,4.8,23532,22905,20,5
SYSN10000176,SH5800144,St. Ives Phục hồi Daily Sunscreen,110000,4.4,16,16,30,4
SYSN10000177,SH8377556,Cetaphil Nhẹ nhàng Oil Cleanser,380000,4.5,22,40,5,1
SYSN10000178,SH2385991,Innisfree Làm dịu Eye Cream Moisturizer,321000,4.4,24,38,13,2
SYSN10000179,SH5960015,Pond's Tăng cường Gel Cleanser,58000,4.8,0,0,23,1
SYSN10000180,SH6914963,Vaseline Cao cấp Daily Sunscreen,162000,4.6,24,34,34,4
SYSN10000181,SH7095349,Senka Cấp nước Low pH Cleanser,53000,4.8,179,227,26,1
SYSN10000182,SH7145971,Laneige Phục hồi Cream Moisturizer,2484000,4.9,34,35,18,2
SYSN10000183,SH3310140,Vaseline Sáng da Gel Cleanser,52000,5.0,499,645,34,1
SYSN10000184,SH9686324,Cosrx Làm mềm Foam Cleanser,229000,4.3,38,41,8,1
SYSN10000185,SH9240971,Innisfree Làm dịu Peptide Serum,456000,4.6,134,107,13,3
SYSN10000186,SH6361793,Innisfree Cao cấp AHA/BHA Serum,295000,4.8,7,10,13,3
SYSN10000187,SH3920762,Neutrogena Nhẹ nhàng Low pH Cleanser,280000,4.9,357,603,20,1
SYSN10000188,SH7054838,Anessa Dưỡng ẩm Niacinamide Serum,427000,4.8,42,55,1,3
SYSN10000189,SH7680015,Klairs Làm dịu Essence Toner,442000,4.4,38,75,15,5
SYSN10000190,SH2244282,Klairs Chuyên sâu PA++++ Sunscreen,411000,5.0,25,29,15,4
SYSN10000191,SH3164813,Kiehl's VN Chống lão hóa Water Resistant Sunscreen,2331000,4.8,66,75,14,4
SYSN10000192,SH6805303,Anessa Phục hồi AHA/BHA Serum,742000,4.8,10,19,1,3
SYSN10000193,SH3100009,Paula's Choice Làm dịu Water Resistant Sunscreen,233000,4.6,11,15,22,4
SYSN10000194,SH6664316,Garnier Nhẹ nhàng Peptide Serum,142000,5.0,19,33,10,3
SYSN10000195,SH4536777,La Roche-Posay Làm dịu Pore Care Toner,169000,4.6,12,19,17,5
SYSN10000196,SH9102469,Rovectin Làm dịu Low pH Cleanser,321000,4.6,114,98,24,1
SYSN10000197,SH8792046,La Roche-Posay Làm mềm Tint Sunscreen,348000,5.0,8,6,17,4
SYSN10000198,SH7216632,Vaseline Hiệu quả SPF 30 Sunscreen,177000,4.6,80,101,34,4
SYSN10000199,SH5868949,Laneige Dưỡng ẩm Vitamin C Serum,1544000,4.4,115,220,18,3
SYSN10000200,SH6246485,Murad VN Nhẹ nhàng Peptide Serum,1941000,4.2,1,0,19,3
SYSN10000201,SH9479950,Neutrogena Cấp nước Cream Moisturizer,422000,4.9,3,3,20,2
SYSN10000202,SH8895137,Estee Lauder Chuyên sâu Low pH Cleanser,1035000,4.7,83,77,9,1
SYSN10000203,SH1759041,Estee Lauder Tăng cường Niacinamide Serum,2839000,4.6,114,125,9,3
SYSN10000204,SH5692934,Cosrx Hiệu quả Niacinamide Serum,521000,4.5,83,144,8,3
SYSN10000205,SH7133857,CeraVe Kiểm soát nhờn Micellar Cleanser,285000,4.4,77,125,4,1
SYSN10000206,SH8948107,Some By Mi Tăng cường Low pH Cleanser,318000,4.7,116,148,29,1
SYSN10000207,SH6020319,SK-II Nhẹ nhàng Eye Cream Moisturizer,1423000,4.3,707,983,25,2
SYSN10000208,SH6557278,Klairs Tăng cường Gel Cleanser,246000,4.6,77,116,15,1
SYSN10000209,SH8962302,Kiehl's VN Sáng da SPF 50+ Sunscreen,1017000,4.7,15,13,14,4
SYSN10000210,SH3860717,Bioderma Làm mềm Eye Cream Moisturizer,390000,4.4,40,51,3,2
SYSN10000211,SH1317716,Paula's Choice Phục hồi Essence Toner,142000,5.0,2,2,22,5
SYSN10000212,SH2044906,The Face Shop Cao cấp Tint Sunscreen,338000,5.0,202,314,32,4
SYSN10000213,SH8711874,Beauty of Joseon VN Chống lão hóa Micellar Cleanser,278000,5.0,8,14,2,1
SYSN10000214,SH5680950,Pond's Phục hồi SPF 30 Sunscreen,107000,4.5,160,213,23,4
SYSN10000215,SH9204110,Neutrogena Nhẹ nhàng Barrier Repair Moisturizer,537000,4.7,10,9,20,2
SYSN10000216,SH7370211,Pond's Chuyên sâu Eye Cream Moisturizer,78000,4.1,10,18,23,2
SYSN10000217,SH2325893,Garnier Nhẹ nhàng PA++++ Sunscreen,118000,4.6,247,251,10,4
SYSN10000218,SH5557052,Bioderma Thiên nhiên Hyaluronic Acid Serum,378000,4.5,164,115,3,3
SYSN10000219,SH4906349,Rovectin Chuyên sâu Foam Cleanser,403000,4.3,154,89,24,1
SYSN10000220,SH3649811,The Ordinary Thiên nhiên Pore Care Toner,218000,4.1,58,64,33,5
SYSN10000221,SH2500901,Pond's Dưỡng ẩm Low pH Cleanser,117000,4.6,9,13,23,1
SYSN10000222,SH3949245,Cocoon Cấp nước Exfoliating Toner,78000,4.3,4,7,7,5
SYSN10000223,SH2800206,Neutrogena Làm dịu SPF 50+ Sunscreen,538000,4.5,3,5,20,4
SYSN10000224,SH9459284,St. Ives Cao cấp SPF 30 Sunscreen,84000,4.5,18,21,30,4
SYSN10000225,SH1236293,Innisfree Chống lão hóa AHA/BHA Serum,301000,4.9,19,30,13,3
SYSN10000226,SH8175669,Klairs Cao cấp Oil Cleanser,183000,4.2,44,56,15,1
SYSN10000227,SH5375250,Anessa Dưỡng ẩm Foam Cleanser,413000,5.0,99,106,1,1
SYSN10000228,SH7032283,Klairs Làm dịu Vitamin C Serum,678000,4.3,6,9,15,3
SYSN10000229,SH6217344,Hada Labo Hiệu quả AHA/BHA Serum,376000,4.4,45,69,11,3
SYSN10000230,SH3570027,Bioderma Làm mềm Gel Moisturizer,278000,4.4,35,41,3,2
SYSN10000231,SH4664338,Innisfree Cao cấp Daily Sunscreen,271000,4.5,111,182,13,4
SYSN10000232,SH2882551,St. Ives Trắng sáng Micellar Cleanser,85000,4.6,11,6,30,1
SYSN10000233,SH2950183,Anessa Làm mềm Balm Cleanser,313000,4.5,19,28,1,1
SYSN10000234,SH9610869,Beauty of Joseon VN Chống lão hóa Tint Sunscreen,440000,4.7,32,35,2,4
SYSN10000235,SH1050591,Pond's Làm dịu Oil Cleanser,81000,4.8,15,24,23,1
SYSN10000236,SH2157949,Cosrx Thiên nhiên Vitamin C Serum,453000,4.7,54,106,8,3
SYSN10000237,SH8052503,Anessa Chuyên sâu Daily Sunscreen,264000,4.7,134,142,1,4
SYSN10000238,SH3231198,Beauty of Joseon VN Cao cấp Barrier Repair Moisturizer,577000,4.7,26,38,2,2
SYSN10000239,SH1058272,The Face Shop Cao cấp Retinol Serum,381000,4.5,93,151,32,3
SYSN10000240,SH8728009,The Face Shop Phục hồi Foam Cleanser,215000,5.0,130,132,32,1
SYSN10000241,SH1262492,Simple Cấp nước Barrier Repair Moisturizer,188000,4.6,1758,1513,28,2
SYSN10000242,SH1742169,Rovectin Phục hồi Gel Cleanser,311000,4.6,9,9,24,1
SYSN10000243,SH6350316,Cocoon Phục hồi Hyaluronic Acid Serum,413000,4.8,24,32,7,3
SYSN10000244,SH7938388,Anessa Phục hồi Water Resistant Sunscreen,349000,4.5,57,54,1,4
SYSN10000245,SH9315137,Murad VN Kiểm soát nhờn Night Cream Moisturizer,1111000,4.2,14,7,19,2
SYSN10000246,SH3503456,The Face Shop Cấp nước Oil Cleanser,229000,4.8,41,38,32,1
SYSN10000247,SH8768273,Bioderma Chống lão hóa Low pH Cleanser,257000,4.8,18,33,3,1
SYSN10000248,SH6540893,Anessa Phục hồi Lotion Moisturizer,210000,5.0,41,60,1,2
SYSN10000249,SH1663497,Bioderma Chuyên sâu Tint Sunscreen,250000,4.7,6,10,3,4
SYSN10000250,SH1257256,L'Oreal Làm dịu Hydrating Toner,114000,4.8,18,14,16,5
SYSN10000251,SH4431161,St. Ives Nhẹ nhàng Pore Care Toner,103000,4.8,74,81,30,5
SYSN10000252,SH5388275,Innisfree Làm dịu PA++++ Sunscreen,337000,4.5,287,298,13,4
SYSN10000253,SH4407913,Beauty of Joseon VN Thiên nhiên Hyaluronic Acid Serum,302000,5.0,90,95,2,3
SYSN10000254,SH8005797,Anessa Thiên nhiên Balm Cleanser,371000,4.3,2,1,1,1
SYSN10000255,SH6663388,Bioderma Chuyên sâu AHA/BHA Serum,556000,4.8,37,32,3,3
SYSN10000256,SH3348114,St. Ives Chống lão hóa Hydrating Toner,41000,4.8,187,295,30,5
SYSN10000257,SH2247057,Rovectin Dưỡng ẩm Eye Cream Moisturizer,213000,4.6,113,216,24,2
SYSN10000258,SH4669507,Rovectin Dưỡng ẩm Exfoliating Toner,347000,4.7,59,74,24,5
SYSN10000259,SH9929043,St. Ives Dưỡng ẩm Gel Cleanser,49000,4.6,165,219,30,1
SYSN10000260,SH8223819,Neutrogena Chuyên sâu Low pH Cleanser,355000,4.8,45,76,20,1
SYSN10000261,SH6946534,Bioderma Làm dịu Eye Cream Moisturizer,519000,4.6,101,90,3,2
SYSN10000262,SH6032739,Klairs Phục hồi Daily Sunscreen,341000,4.7,85,129,15,4
SYSN10000263,SH8986040,Senka Cấp nước Night Cream Moisturizer,182000,4.5,45,26,26,2
SYSN10000264,SH2599906,Hada Labo Sáng da Hyaluronic Acid Serum,571000,5.0,175,322,11,3
